Ranking,Tropical,Sub-tropical,Temperate
1,Sankhe kira (Snail),Khumle kira (White grubs),Khumle kira (White grubs)
2,Patera (Sting bugs),Jhusile (Hairy caterpillar),Kamila (Ant)
3,Phatangra (Grass hopper),Kalo kira (Hispa),Laai (Aphids)
4,Jhusile (Hairy caterpillar),Kamila (Ant),Banselu (White grub)
5,Laai (Aphids),Laai (Aphids),Jhusile (Hairy caterpillar)
6,Gaandhi / gaandi (Sting bug),Rato kira (Lady bird beetle),Phatangra (Grass hopper)
7,Hariyo kira (Semi looper),Phatangra (Grass hopper),Kalo kira (Hispa)
8,Gabaaro (Borer),Patera (Sting bugs),Kage kira (Blister beetle)
9,Sete(Hispa),Hariyo Kira(Semi looper),Gabaaro(Borer)
10,Kalo Kira (Hispa),Gabaaro(Borer),Rato Kira(Lady bird beetle)
11,Seto putali (Borer),Kage kira (Blister beetle),"
Hariyo kira (Semi looper)"
12,Chiple kira,Banselu (White grub),Chepto kira (Snail)
13,Khumle kira (white grubs),Seto putali (Borer),Sukaune kira (Blast)
14,Rato kira (Lady bird beetle),Sete (Hispa),Seto putali (Borer)
15,Gube kira (Shoot borer),Dhamira (White ants),Dhamira (White ants)
