B year,"B
(m w.e.)",BW,BS,BW+BS,"ELA
(m a.s.l.)",AAR,"db/dz
(m w.e. (100 m)-1)"
1999,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2012,-0.86 ±0.40,0.16,-0.2,-0.03,5454 ±30,0.28,1.14
2013,-0.01 ±0.29,0.36,-0.35,0.01,5380 ±20,0.48,0.99
2014,-0.61 ±0.27,0.27,-0.99,-0.73,5431 ±20,0.35,1.18
2015,-1.18 ±0.26,0.54,-1.12,-0.59,5510 ±40,0.13,0.9
2016,-0.61 ±0.23,0.19,-0.79,-0.6,5444 ±20,0.31,0.93
2017,-1.18 ±0.20,0.2,-1.39,-1.19,5486 ±20,0.19,1.1
Mean,-0.74 ±0.28,0.29,-0.81,-0.52,5451,0.29,1.04
STD,0.44,0.14,0.46,0.45,45,0.12,0.12
2011– 2017  ,-4.44 ±0.69,1.72,-4.85,-3.13,NAN,NAN,NAN
