Duration,Total years,Glacier,"Annual thickness
change (m a-1)","Annual mass
balance rate (m we a-1)"
2000–2012,12,Yala,0.87 ±0.62,-0.74 ±0.53*
2000–2012,12,Yala profile,-1.1 ±0.13,-0.94 ±0.11*
2011–2017,6,Yala,NaN,-0.74 ±0.28
2006–2015,9,Yala,"-0.89
±0.23",-0.76 ±0.24
2000–2016,16,Yala,"-0.52
±0.21",-0.44 ±0.18*
1996–2009,13,Yala profile,"-0.75
±0.24",-0.64 ±0.20*
1996–2009,13,Yala,NaN,-0.80 ±0.16
2006–2015,9,7   glaciers   in Langtang,-0.45 ±0.18,-0.38 ±0.17
2000–2016,16,3   glaciers   in Langtang,NaN,-0.58 ±0.08
2011–2017,6,Rikha Samba,NaN,-0.39 ±0.32
2000–2016,16,Rikha Samba,"-0.44
±0.27",-0.37 ±0.23*
1998–2010,12,Rikha Samba,NaN,-0.48 ±0.10
2011–2017,6,Mera,NaN,-0.31 ±0.17
2011–2017,6,Pokalde,NaN,-0.75 ±0.28
2000–2011,11,Everest Region,NaN,-0.26 ±0.13
2000–2008,8,Everest Region,NaN,-0.45 ±0.60
2002–2007,5,Everest Region,NaN,-0.79 ±0.52
2002–2014,12,Chhota Shigri,NaN,-0.56 ±0.40
2000–2016,16,Himalayan glaciers clean,NaN,-0.38 ±0.08
