Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
0.0, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
0.0, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
0.0, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
0.0, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
0.00267, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
0.14849, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
0.74198, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
1.44218, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
0.75603, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
0.20688, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
0.00346, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
0.0, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
0.23503, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-10.695, 2040-2059, bnu_esm, Annual Anomaly, NPL
-7.6884, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-13.304, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-12.912, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-12.991, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
2.76233, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-3.3725, 2040-2059, miroc5, Annual Anomaly, NPL
-1.1577, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-7.7987, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.035, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.02972, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
3.18218, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
