"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AY1","CALL_SIGN","CIG","DEW","EQD","GA1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","UA1","VIS","WG1","WND"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-07T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0070,1","Q01+000012SCOTLC",,"01,99,1,00,1,00,1,99999,9,00,1,01,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0010,1",,"035000,1,N,9",,"360,1,N,0010,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-07T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","+0000,1",,,"01,99,1,01,1,01,1,00150,1,00,1,00,1",,,"999,N,-0020,1",,,"02,1","V020","SYN00570052","FM-12","99999,9","4","+0060,1",,"040000,1,N,9",,"180,1,N,0010,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-07T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","+0020,1",,,"01,99,1,01,1,01,1,00150,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0090,1",,"040000,1,N,9",,"160,1,N,0036,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-07T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00030,1,C,N","+0040,1",,,"07,99,1,07,1,06,1,00025,1,00,1,00,1",,,"999,M,+0100,1",,,"28,1","V020","SYN00570010","FM-12","99999,9","4","+0050,1",,"003000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-08T03:00:00","4","FM-12","99999","V020","24,0000,9,1","4,1,99,9","99999","22000,1,C,N","-0010,1",,,"01,99,1,01,1,05,1,00025,1,00,1,00,1",,,"999,N,-0020,1",,,"01,1","V020","SYN00570052","FM-12","99999,9","4","+0040,1",,"025000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-09T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0030,1",,,"02,99,1,01,1,05,1,00025,1,08,1,01,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0000,1",,"025000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-09T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00015,1,C,N","+0030,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,,,,"47,1","V020",,"FM-12","99999,9","4","+0030,1",,"000000,1,N,9",,"140,1,N,0021,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-09T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","00030,1,C,N","+0030,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"999,M,+0060,1",,,"43,1","V020","SYN00570006","FM-12","99999,9","4","+0030,1",,"000200,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-10T00:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","-0070,1",,,"01,99,1,01,1,05,1,00250,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","-0030,1",,"030000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-10T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0010,1",,,"01,99,1,01,1,05,1,00250,1,00,1,00,1",,,"999,N,-0040,1",,,"02,1","V020","SYN00870054 /?","FM-12","99999,9","4","+0040,1",,"035000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-10T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","+0010,1",,,"01,99,1,01,1,01,1,00150,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0080,1",,"030000,1,N,9",,"160,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-10T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0030,1",,"09,1,+99999,9,99,9","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,,,,"47,1","V020",,"FM-12","99999,9","4","+0050,1",,"000300,1,N,9",,"160,1,N,0031,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-10T12:00:00","4","FM-12","99999","V020","99,0000,9,1","4,1,99,9","99999","22000,1,C,N","+9999,9",,,"02,99,1,02,1,06,1,00025,1,00,1,00,1",,,"999,M,+0090,1",,,"42,1","V020","SYN00570009","FM-12","99999,9","4","+9999,9",,"000300,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-11T00:00:00","4","FM-12","99999","V020",,"1,1,99,9","99999","22000,1,C,N","-0060,1",,,"01,99,1,01,1,05,1,00150,1,00,1,00,1",,,,,,"01,1","V020",,"FM-12","99999,9","4","-0030,1",,"030000,1,N,9",,"999,1,C,0000,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-11T03:00:00","4","FM-12","99999","V020","24,0000,9,1","0,1,99,9","99999","22000,1,C,N","-0030,1",,,"03,99,1,03,1,05,1,00250,1,00,1,00,1",,,"999,N,-0040,1",,,"03,1","V020","SYN00570054","FM-12","99999,9","4","+0030,1",,"030000,1,N,9",,"160,1,N,0041,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-11T06:00:00","4","FM-12","99999","V020",,"0,1,99,9","99999","22000,1,C,N","+0000,1",,,"03,99,1,03,1,05,1,00250,1,00,1,00,1",,,,,,"02,1","V020",,"FM-12","99999,9","4","+0060,1",,"030000,1,N,9",,"160,1,N,0046,1"
"44461099999","SYANGBOCHE, NP","27.817","86.717","3700.0","1976-11-11T09:00:00","4","FM-12","99999","V020",,"4,1,99,9","99999","00030,1,C,N","+0020,1",,,"07,99,1,07,1,06,1,00025,1,00,1,00,1",,,,,,"46,1","V020",,"FM-12","99999,9","4","+0040,1",,"000500,1,N,9",,"110,1,N,0021,1"
