,Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C)
Physiographic Region,Winter,Pre- monsoon,monsoon,Post-monsoon,Annual,Winter,Pre-monsoon,monsoon,Post-monsoon,Annual,Winter,Pre-monsoon,monsoon,Post-monsoon,Annual
High Himalayas,49.6,105.4,502.9,36.5,694.2,11.8,18.5,21.5,16.9,17.6,-9.1,-4.8,2,-5.5,-3.8
High Mountains,72.6,202.7,1189.8,62.9,1527.9,11.8,18.5,21.5,16.9,17.6,-0.2,6.4,12.8,5,6.6
Mid Mountain,60.2,212.9,1292.7,61.7,1627.4,18.6,26.8,27.8,23.9,24.6,5.8,13.6,19.4,12,13.3
Siwaliks,52,160.9,1426.3,69.4,1708.5,22.6,32.5,32.4,28.5,29.3,8.9,17.7,23.5,15.9,17.1
Terai,41.7,149.5,1339.1,70.2,1600.4,23.9,34.1,33.9,30.3,30.8,10.3,19.5,25.2,17.7,18.8
