Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.0889, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.10588, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.13466, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1651, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1127, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.2077, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.1701, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1632, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-0.3147, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.3731, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0569, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3625, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.3083, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.1148, 2060-2079, bnu_esm, Feb Anomaly, NPL
-0.5667, 2060-2079, bnu_esm, Mar Anomaly, NPL
-0.2089, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.1392, 2060-2079, bnu_esm, May Anomaly, NPL
-0.4156, 2060-2079, bnu_esm, Jun Anomaly, NPL
-0.3027, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.247, 2060-2079, bnu_esm, Aug Anomaly, NPL
-0.7533, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.5969, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.2148, 2060-2079, bnu_esm, Nov Anomaly, NPL
-0.1188, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.1956, 2060-2079, canesm2, Jan Anomaly, NPL
-0.0563, 2060-2079, canesm2, Feb Anomaly, NPL
-0.0922, 2060-2079, canesm2, Mar Anomaly, NPL
-0.1292, 2060-2079, canesm2, Apr Anomaly, NPL
-0.1169, 2060-2079, canesm2, May Anomaly, NPL
-0.0838, 2060-2079, canesm2, Jun Anomaly, NPL
-0.1173, 2060-2079, canesm2, Jul Anomaly, NPL
-0.0681, 2060-2079, canesm2, Aug Anomaly, NPL
-0.2581, 2060-2079, canesm2, Sep Anomaly, NPL
-0.0452, 2060-2079, canesm2, Oct Anomaly, NPL
-0.2007, 2060-2079, canesm2, Nov Anomaly, NPL
-0.1671, 2060-2079, canesm2, Dec Anomaly, NPL
0.02344, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.0879, 2060-2079, ccsm4, Feb Anomaly, NPL
0.01528, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.04, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.137, 2060-2079, ccsm4, May Anomaly, NPL
-0.2181, 2060-2079, ccsm4, Jun Anomaly, NPL
-0.2131, 2060-2079, ccsm4, Jul Anomaly, NPL
-0.0858, 2060-2079, ccsm4, Aug Anomaly, NPL
-0.2248, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.4695, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.0465, 2060-2079, ccsm4, Nov Anomaly, NPL
-0.2116, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.2899, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-0.5039, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-0.0545, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-0.076, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.2083, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.1065, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-0.0442, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-0.0176, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-0.1523, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-0.2884, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.3162, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.4518, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.1969, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
-0.238, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
0.14031, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
-0.0577, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-0.1439, 2060-2079, cnrm_cm5, May Anomaly, NPL
-0.0361, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-0.1518, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.1365, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.3618, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
-0.6442, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-0.2131, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
-0.2973, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-0.2625, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.4756, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.2864, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.327, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0997, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.3327, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.2977, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-0.49, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
-0.2867, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4857, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-0.3803, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.3616, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
-0.2137, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.0636, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
-0.1006, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-0.0283, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.0328, 2060-2079, gfdl_cm3, May Anomaly, NPL
-0.1626, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-0.4266, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-0.1797, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-0.3207, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.1911, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.2824, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-0.1114, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-0.0318, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-0.1204, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-0.0733, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.05142, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
0.13775, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.0343, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-0.0522, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-0.0071, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.12648, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.06435, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-0.1904, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-0.0798, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
0.11164, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.0563, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
-0.1696, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.2372, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-0.4058, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-0.153, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-0.0062, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
0.16193, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-0.0599, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-0.1266, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-0.2723, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-0.4648, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
0.25269, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-0.2197, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-0.0773, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-0.3369, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.3348, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.2917, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.161, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
-0.4541, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
-0.0355, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.04904, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-0.0635, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
0.03032, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-0.209, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-0.2675, 2060-2079, hadgem2_es, Feb Anomaly, NPL
0.05166, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.082, 2060-2079, hadgem2_es, Apr Anomaly, NPL
-0.2854, 2060-2079, hadgem2_es, May Anomaly, NPL
-0.397, 2060-2079, hadgem2_es, Jun Anomaly, NPL
-0.2178, 2060-2079, hadgem2_es, Jul Anomaly, NPL
-0.087, 2060-2079, hadgem2_es, Aug Anomaly, NPL
-0.1207, 2060-2079, hadgem2_es, Sep Anomaly, NPL
-0.1127, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-0.1859, 2060-2079, hadgem2_es, Nov Anomaly, NPL
0.02303, 2060-2079, hadgem2_es, Dec Anomaly, NPL
0.02263, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.2879, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.1126, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.2645, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.2749, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
-0.3511, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
-0.6484, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.2671, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
-0.7199, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.3093, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.2778, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
0.00361, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
0.14208, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.1023, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.1891, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
0.0336, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.2869, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
-0.0854, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
-0.2642, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.1703, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
-0.2238, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
-0.3905, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.1276, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.0719, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
-0.242, 2060-2079, miroc_esm, Jan Anomaly, NPL
-0.3233, 2060-2079, miroc_esm, Feb Anomaly, NPL
-0.1055, 2060-2079, miroc_esm, Mar Anomaly, NPL
-0.0023, 2060-2079, miroc_esm, Apr Anomaly, NPL
-0.4336, 2060-2079, miroc_esm, May Anomaly, NPL
-0.0374, 2060-2079, miroc_esm, Jun Anomaly, NPL
-0.0629, 2060-2079, miroc_esm, Jul Anomaly, NPL
-0.0331, 2060-2079, miroc_esm, Aug Anomaly, NPL
-0.0747, 2060-2079, miroc_esm, Sep Anomaly, NPL
-0.2828, 2060-2079, miroc_esm, Oct Anomaly, NPL
-0.2293, 2060-2079, miroc_esm, Nov Anomaly, NPL
-0.479, 2060-2079, miroc_esm, Dec Anomaly, NPL
