Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.4767, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-0.4142, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
-0.3635, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
-0.1305, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
-0.0511, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.15594, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
-0.0253, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-0.0418, 2040-2059, gfdl_cm3, May Anomaly, NPL
-0.1626, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
-0.4266, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
-0.1797, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-0.3207, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-0.1536, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
-0.2424, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
-0.1119, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
-0.1146, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
-0.173, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
-0.0862, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.074, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
0.10181, 2040-2059, gfdl_esm2g, May Anomaly, NPL
0.08402, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
-0.1527, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.006, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
-0.1511, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-0.011, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
-0.2718, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
-0.1342, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
-0.2681, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
0.18717, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
-0.0708, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
-0.21, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
