Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.6944555, 2040-2059, fio_esm, Sep Anomaly, Nepal, NPL
0.5475649, 2040-2059, fio_esm, Oct Anomaly, Nepal, NPL
0.6084933, 2040-2059, fio_esm, Nov Anomaly, Nepal, NPL
1.4275755, 2040-2059, fio_esm, Dec Anomaly, Nepal, NPL
2.9437146, 2040-2059, gfdl_cm3, Jan Anomaly, Nepal, NPL
2.7059138, 2040-2059, gfdl_cm3, Feb Anomaly, Nepal, NPL
2.6102054, 2040-2059, gfdl_cm3, Mar Anomaly, Nepal, NPL
2.8229825, 2040-2059, gfdl_cm3, Apr Anomaly, Nepal, NPL
4.057203, 2040-2059, gfdl_cm3, May Anomaly, Nepal, NPL
3.5738394, 2040-2059, gfdl_cm3, Jun Anomaly, Nepal, NPL
2.6316783, 2040-2059, gfdl_cm3, Jul Anomaly, Nepal, NPL
2.8528686, 2040-2059, gfdl_cm3, Aug Anomaly, Nepal, NPL
2.657263, 2040-2059, gfdl_cm3, Sep Anomaly, Nepal, NPL
2.9763548, 2040-2059, gfdl_cm3, Oct Anomaly, Nepal, NPL
2.7988076, 2040-2059, gfdl_cm3, Nov Anomaly, Nepal, NPL
3.4051673, 2040-2059, gfdl_cm3, Dec Anomaly, Nepal, NPL
2.265017, 2040-2059, gfdl_esm2m, Jan Anomaly, Nepal, NPL
1.7560856, 2040-2059, gfdl_esm2m, Feb Anomaly, Nepal, NPL
1.536284, 2040-2059, gfdl_esm2m, Mar Anomaly, Nepal, NPL
1.4122661, 2040-2059, gfdl_esm2m, Apr Anomaly, Nepal, NPL
2.3175611, 2040-2059, gfdl_esm2m, May Anomaly, Nepal, NPL
1.6797119, 2040-2059, gfdl_esm2m, Jun Anomaly, Nepal, NPL
2.2503698, 2040-2059, gfdl_esm2m, Jul Anomaly, Nepal, NPL
2.5213802, 2040-2059, gfdl_esm2m, Aug Anomaly, Nepal, NPL
1.9411051, 2040-2059, gfdl_esm2m, Sep Anomaly, Nepal, NPL
1.9680635, 2040-2059, gfdl_esm2m, Oct Anomaly, Nepal, NPL
2.315411, 2040-2059, gfdl_esm2m, Nov Anomaly, Nepal, NPL
1.9324363, 2040-2059, gfdl_esm2m, Dec Anomaly, Nepal, NPL
2.7989306, 2040-2059, giss_e2_h, Jan Anomaly, Nepal, NPL
2.462773, 2040-2059, giss_e2_h, Feb Anomaly, Nepal, NPL
1.9024245, 2040-2059, giss_e2_h, Mar Anomaly, Nepal, NPL
1.8336293, 2040-2059, giss_e2_h, Apr Anomaly, Nepal, NPL
2.045157, 2040-2059, giss_e2_h, May Anomaly, Nepal, NPL
2.2422948, 2040-2059, giss_e2_h, Jun Anomaly, Nepal, NPL
2.1124682, 2040-2059, giss_e2_h, Jul Anomaly, Nepal, NPL
1.2402102, 2040-2059, giss_e2_h, Aug Anomaly, Nepal, NPL
1.4368811, 2040-2059, giss_e2_h, Sep Anomaly, Nepal, NPL
2.1127977, 2040-2059, giss_e2_h, Oct Anomaly, Nepal, NPL
1.7845333, 2040-2059, giss_e2_h, Nov Anomaly, Nepal, NPL
2.2803202, 2040-2059, giss_e2_h, Dec Anomaly, Nepal, NPL
2.6169906, 2040-2059, giss_e2_r, Jan Anomaly, Nepal, NPL
2.3098204, 2040-2059, giss_e2_r, Feb Anomaly, Nepal, NPL
2.264626, 2040-2059, giss_e2_r, Mar Anomaly, Nepal, NPL
