Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
10.626828, 2020-2039, bcc_csm1_1, Jan Average, Nepal, NPL
13.7795105, 2020-2039, bcc_csm1_1, Feb Average, Nepal, NPL
19.724335, 2020-2039, bcc_csm1_1, Mar Average, Nepal, NPL
26.139135, 2020-2039, bcc_csm1_1, Apr Average, Nepal, NPL
31.22062, 2020-2039, bcc_csm1_1, May Average, Nepal, NPL
33.58513, 2020-2039, bcc_csm1_1, Jun Average, Nepal, NPL
28.45854, 2020-2039, bcc_csm1_1, Jul Average, Nepal, NPL
28.583723, 2020-2039, bcc_csm1_1, Aug Average, Nepal, NPL
28.230019, 2020-2039, bcc_csm1_1, Sep Average, Nepal, NPL
24.553797, 2020-2039, bcc_csm1_1, Oct Average, Nepal, NPL
17.397165, 2020-2039, bcc_csm1_1, Nov Average, Nepal, NPL
11.086574, 2020-2039, bcc_csm1_1, Dec Average, Nepal, NPL
16.501595, 2020-2039, bcc_csm1_1_m, Jan Average, Nepal, NPL
19.410873, 2020-2039, bcc_csm1_1_m, Feb Average, Nepal, NPL
26.124987, 2020-2039, bcc_csm1_1_m, Mar Average, Nepal, NPL
32.287216, 2020-2039, bcc_csm1_1_m, Apr Average, Nepal, NPL
36.137363, 2020-2039, bcc_csm1_1_m, May Average, Nepal, NPL
35.827003, 2020-2039, bcc_csm1_1_m, Jun Average, Nepal, NPL
31.436207, 2020-2039, bcc_csm1_1_m, Jul Average, Nepal, NPL
30.244797, 2020-2039, bcc_csm1_1_m, Aug Average, Nepal, NPL
28.976944, 2020-2039, bcc_csm1_1_m, Sep Average, Nepal, NPL
28.078608, 2020-2039, bcc_csm1_1_m, Oct Average, Nepal, NPL
23.261671, 2020-2039, bcc_csm1_1_m, Nov Average, Nepal, NPL
18.243307, 2020-2039, bcc_csm1_1_m, Dec Average, Nepal, NPL
19.084095, 2020-2039, ccsm4, Jan Average, Nepal, NPL
21.009266, 2020-2039, ccsm4, Feb Average, Nepal, NPL
26.164156, 2020-2039, ccsm4, Mar Average, Nepal, NPL
33.772266, 2020-2039, ccsm4, Apr Average, Nepal, NPL
38.378582, 2020-2039, ccsm4, May Average, Nepal, NPL
34.422974, 2020-2039, ccsm4, Jun Average, Nepal, NPL
29.35977, 2020-2039, ccsm4, Jul Average, Nepal, NPL
28.933447, 2020-2039, ccsm4, Aug Average, Nepal, NPL
