Rainfall Amount from Very Wet Days - (Percentage), Year, Model, Statistics, ISO3
-10.203, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
5.95678, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-5.0784, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-3.2353, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0221, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
15.2713, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
28.7192, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-14.417, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
8.36317, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
13.7759, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-4.9062, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-5.3461, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.03447, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-1.682, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-2.6687, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.355, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.2228, 2060-2079, bcc_csm1_1, May Anomaly, NPL
13.0583, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
27.3012, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
33.3176, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
14.4955, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-1.7612, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.88429, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.584, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
5.49863, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.4786, 2060-2079, ccsm4, Feb Anomaly, NPL
-1.8672, 2060-2079, ccsm4, Mar Anomaly, NPL
0.05637, 2060-2079, ccsm4, Apr Anomaly, NPL
-2.0617, 2060-2079, ccsm4, May Anomaly, NPL
5.41828, 2060-2079, ccsm4, Jun Anomaly, NPL
