Rainfall Amount from Very Wet Days - (Percentage), Year, Model, Statistics, ISO3
-1.3786, 2060-2079, access1_0, Jan Anomaly, NPL
-5.3549, 2060-2079, access1_0, Feb Anomaly, NPL
0.27261, 2060-2079, access1_0, Mar Anomaly, NPL
0.83422, 2060-2079, access1_0, Apr Anomaly, NPL
6.72459, 2060-2079, access1_0, May Anomaly, NPL
-15.968, 2060-2079, access1_0, Jun Anomaly, NPL
61.7401, 2060-2079, access1_0, Jul Anomaly, NPL
16.6332, 2060-2079, access1_0, Aug Anomaly, NPL
2.11639, 2060-2079, access1_0, Sep Anomaly, NPL
1.64781, 2060-2079, access1_0, Oct Anomaly, NPL
-1.491, 2060-2079, access1_0, Nov Anomaly, NPL
-2.5138, 2060-2079, access1_0, Dec Anomaly, NPL
-5.0581, 2060-2079, access1_3, Jan Anomaly, NPL
-6.4937, 2060-2079, access1_3, Feb Anomaly, NPL
0.50693, 2060-2079, access1_3, Mar Anomaly, NPL
-0.1292, 2060-2079, access1_3, Apr Anomaly, NPL
6.24483, 2060-2079, access1_3, May Anomaly, NPL
13.4797, 2060-2079, access1_3, Jun Anomaly, NPL
56.5402, 2060-2079, access1_3, Jul Anomaly, NPL
-0.7897, 2060-2079, access1_3, Aug Anomaly, NPL
-0.1996, 2060-2079, access1_3, Sep Anomaly, NPL
0.19428, 2060-2079, access1_3, Oct Anomaly, NPL
1.34862, 2060-2079, access1_3, Nov Anomaly, NPL
-3.3062, 2060-2079, access1_3, Dec Anomaly, NPL
-16.938, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-3.1472, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-7.003, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-1.8882, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
5.87645, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.11312, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
22.1851, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
28.5947, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
21.1685, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
5.4805, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.2816, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-10.914, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
3.22518, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
4.33805, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-2.2214, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.76942, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
