Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.4061, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.3616, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.4417, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.4834, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-1.1397, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-1.0615, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.8048, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.8379, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-1.1683, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.5751, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.3565, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-1.6335, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-2.2268, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.8806, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.1604, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.4378, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-1.1934, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-1.023, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-0.3958, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-0.5889, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-1.62, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.4711, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-0.3144, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-1.1349, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-1.3099, 2040-2059, bnu_esm, Jan Anomaly, NPL
-1.1502, 2040-2059, bnu_esm, Feb Anomaly, NPL
-1.0175, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.5756, 2040-2059, bnu_esm, Apr Anomaly, NPL
-1.0712, 2040-2059, bnu_esm, May Anomaly, NPL
-1.1652, 2040-2059, bnu_esm, Jun Anomaly, NPL
-0.3417, 2040-2059, bnu_esm, Jul Anomaly, NPL
-0.4577, 2040-2059, bnu_esm, Aug Anomaly, NPL
-2.0735, 2040-2059, bnu_esm, Sep Anomaly, NPL
-1.2801, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.5494, 2040-2059, bnu_esm, Nov Anomaly, NPL
-1.1996, 2040-2059, bnu_esm, Dec Anomaly, NPL
-2.9071, 2040-2059, canesm2, Jan Anomaly, NPL
-2.1334, 2040-2059, canesm2, Feb Anomaly, NPL
-1.4688, 2040-2059, canesm2, Mar Anomaly, NPL
-0.8596, 2040-2059, canesm2, Apr Anomaly, NPL
-2.0237, 2040-2059, canesm2, May Anomaly, NPL
-0.9429, 2040-2059, canesm2, Jun Anomaly, NPL
-0.0691, 2040-2059, canesm2, Jul Anomaly, NPL
-0.0102, 2040-2059, canesm2, Aug Anomaly, NPL
-0.6513, 2040-2059, canesm2, Sep Anomaly, NPL
-2.7243, 2040-2059, canesm2, Oct Anomaly, NPL
-1.2273, 2040-2059, canesm2, Nov Anomaly, NPL
-2.5402, 2040-2059, canesm2, Dec Anomaly, NPL
-0.6075, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.677, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.5698, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.5592, 2040-2059, ccsm4, Apr Anomaly, NPL
-1.9017, 2040-2059, ccsm4, May Anomaly, NPL
-0.5683, 2040-2059, ccsm4, Jun Anomaly, NPL
-0.1661, 2040-2059, ccsm4, Jul Anomaly, NPL
-0.1524, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.4521, 2040-2059, ccsm4, Sep Anomaly, NPL
-0.6479, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.7197, 2040-2059, ccsm4, Nov Anomaly, NPL
0.01167, 2040-2059, ccsm4, Dec Anomaly, NPL
-2.3162, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-1.3524, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-0.8802, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.3527, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-1.5527, 2040-2059, cesm1_cam5, May Anomaly, NPL
-0.7377, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-0.1643, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
-0.1415, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-1.1543, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
-1.458, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-1.0797, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-0.9198, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-1.1793, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
-1.018, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-0.685, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
-0.5075, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-1.6222, 2040-2059, cnrm_cm5, May Anomaly, NPL
-1.3189, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-0.1046, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-0.0021, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.4194, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-1.4659, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.7465, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
-1.4894, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
-1.8844, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-2.1742, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
-0.8027, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
-0.9326, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
-1.5791, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
