Expected Largest Monthly Rainfall Amount in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
303.604, 2060-2079, access1_0, Annual Anomaly, NPL
630.382, 2060-2079, access1_3, Annual Anomaly, NPL
180.828, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
224.997, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
303.419, 2060-2079, bnu_esm, Annual Anomaly, NPL
382.131, 2060-2079, canesm2, Annual Anomaly, NPL
502.632, 2060-2079, ccsm4, Annual Anomaly, NPL
491.748, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
144.763, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-47.747, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
479.47, 2060-2079, cmcc_cm, Annual Anomaly, NPL
216.606, 2060-2079, cmcc_cms, Annual Anomaly, NPL
149.807, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
155.134, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
389.99, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
440.442, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
108.598, 2060-2079, hadgem2_es, Annual Anomaly, NPL
94.3183, 2060-2079, inmcm4, Annual Anomaly, NPL
456.654, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
444.044, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-29.361, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
194.294, 2060-2079, miroc5, Annual Anomaly, NPL
395.795, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
390.412, 2060-2079, miroc_esm, Annual Anomaly, NPL
-11.557, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-124.4, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
137.964, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
249.041, 2060-2079, mri_esm1, Annual Anomaly, NPL
575.077, 2060-2079, noresm1_m, Annual Anomaly, NPL
-543.05, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
307.4, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
2422.59, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
