Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.12455, 2020-2039, access1_0, Mar Anomaly, NPL
0.6433, 2020-2039, access1_0, Apr Anomaly, NPL
0.21074, 2020-2039, access1_0, May Anomaly, NPL
-1.3258, 2020-2039, access1_0, Jun Anomaly, NPL
0.17657, 2020-2039, access1_0, Jul Anomaly, NPL
0.6059, 2020-2039, access1_0, Aug Anomaly, NPL
0.63264, 2020-2039, access1_0, Sep Anomaly, NPL
0.0527, 2020-2039, access1_0, Oct Anomaly, NPL
0.38692, 2020-2039, access1_3, Mar Anomaly, NPL
1.57174, 2020-2039, access1_3, Apr Anomaly, NPL
-0.1559, 2020-2039, access1_3, May Anomaly, NPL
-0.3433, 2020-2039, access1_3, Jun Anomaly, NPL
0.02614, 2020-2039, access1_3, Jul Anomaly, NPL
0.19998, 2020-2039, access1_3, Aug Anomaly, NPL
0.31506, 2020-2039, access1_3, Sep Anomaly, NPL
0.01354, 2020-2039, access1_3, Oct Anomaly, NPL
2.7E-4, 2020-2039, access1_3, Nov Anomaly, NPL
-1.0E-4, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.2517, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.48874, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.80395, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.7093, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.52542, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.41433, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.12756, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.51681, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.00961, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.14143, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.70454, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.70937, 2020-2039, bcc_csm1_1, May Anomaly, NPL
1.14598, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
2.16648, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.21444, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.08756, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.11558, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-3.0E-4, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.19582, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.59053, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.63043, 2020-2039, bnu_esm, May Anomaly, NPL
2.57133, 2020-2039, bnu_esm, Jun Anomaly, NPL
