Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
0.11601, 2040-2059, access1_0, Jan Anomaly, NPL
-0.019, 2040-2059, access1_0, Feb Anomaly, NPL
-0.0298, 2040-2059, access1_0, Mar Anomaly, NPL
0.06689, 2040-2059, access1_0, Apr Anomaly, NPL
0.41215, 2040-2059, access1_0, May Anomaly, NPL
0.409, 2040-2059, access1_0, Jun Anomaly, NPL
0.96352, 2040-2059, access1_0, Jul Anomaly, NPL
0.53072, 2040-2059, access1_0, Aug Anomaly, NPL
0.25145, 2040-2059, access1_0, Sep Anomaly, NPL
-0.106, 2040-2059, access1_0, Oct Anomaly, NPL
-0.0646, 2040-2059, access1_0, Nov Anomaly, NPL
-0.1079, 2040-2059, access1_0, Dec Anomaly, NPL
-0.2138, 2040-2059, access1_3, Jan Anomaly, NPL
-0.2761, 2040-2059, access1_3, Feb Anomaly, NPL
-0.3093, 2040-2059, access1_3, Mar Anomaly, NPL
0.05478, 2040-2059, access1_3, Apr Anomaly, NPL
0.32704, 2040-2059, access1_3, May Anomaly, NPL
1.09898, 2040-2059, access1_3, Jun Anomaly, NPL
2.33655, 2040-2059, access1_3, Jul Anomaly, NPL
2.14535, 2040-2059, access1_3, Aug Anomaly, NPL
0.48749, 2040-2059, access1_3, Sep Anomaly, NPL
-0.0109, 2040-2059, access1_3, Oct Anomaly, NPL
0.07542, 2040-2059, access1_3, Nov Anomaly, NPL
-0.1193, 2040-2059, access1_3, Dec Anomaly, NPL
-0.3313, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.15566, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.195, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1135, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.10866, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.56885, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.07793, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.1104, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.16507, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.2877, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.07017, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.562, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2421, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.1646, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.0999, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.02184, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.10755, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.38933, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.63969, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.73248, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.66688, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.0761, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.23981, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.25934, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.0982, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.032, 2040-2059, bnu_esm, Feb Anomaly, NPL
0.17033, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.1023, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.19681, 2040-2059, bnu_esm, May Anomaly, NPL
-0.3715, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.48374, 2040-2059, bnu_esm, Jul Anomaly, NPL
2.24913, 2040-2059, bnu_esm, Aug Anomaly, NPL
1.66493, 2040-2059, bnu_esm, Sep Anomaly, NPL
0.15819, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.1036, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.0147, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.0289, 2040-2059, canesm2, Jan Anomaly, NPL
-0.1458, 2040-2059, canesm2, Feb Anomaly, NPL
0.17018, 2040-2059, canesm2, Mar Anomaly, NPL
0.15459, 2040-2059, canesm2, Apr Anomaly, NPL
0.11965, 2040-2059, canesm2, May Anomaly, NPL
0.2194, 2040-2059, canesm2, Jun Anomaly, NPL
1.18527, 2040-2059, canesm2, Jul Anomaly, NPL
1.89431, 2040-2059, canesm2, Aug Anomaly, NPL
0.38599, 2040-2059, canesm2, Sep Anomaly, NPL
0.11861, 2040-2059, canesm2, Oct Anomaly, NPL
-0.3334, 2040-2059, canesm2, Nov Anomaly, NPL
0.2045, 2040-2059, canesm2, Dec Anomaly, NPL
0.38823, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.2304, 2040-2059, ccsm4, Feb Anomaly, NPL
