Number of Days with Rainfall > 20mm - (Days), Year, Model, Statistics, ISO3
-0.3416, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-0.0056, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
0.12556, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2874, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0098, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.013, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.04422, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.3315, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.7473, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.2892, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.18368, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.07009, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.12154, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-0.0866, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
0.33022, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.15432, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.02819, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
0.05091, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.0044, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.12579, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.68973, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.18405, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.2022, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.0562, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.1781, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-0.4073, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.1649, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
-0.0615, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.00796, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.00762, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
0.0853, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-0.7388, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
1.83284, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
2.04864, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-0.7462, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-0.2401, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
0.06844, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.18436, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
-0.1082, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
-0.2053, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.09846, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.103, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
0.23925, 2020-2039, gfdl_esm2m, May Anomaly, NPL
0.28285, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
-0.2814, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
1.03766, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
0.22287, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
0.21149, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-0.0253, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.15821, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
0.0018, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-0.1199, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
0.12813, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.0197, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.47565, 2020-2039, hadgem2_ao, May Anomaly, NPL
1.23156, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
1.0693, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.9301, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
0.27276, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.0711, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
-0.0401, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
0.10044, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
0.42487, 2020-2039, hadgem2_es, Jan Anomaly, NPL
0.11404, 2020-2039, hadgem2_es, Feb Anomaly, NPL
-0.0185, 2020-2039, hadgem2_es, Mar Anomaly, NPL
0.07192, 2020-2039, hadgem2_es, Apr Anomaly, NPL
0.1662, 2020-2039, hadgem2_es, May Anomaly, NPL
-0.8932, 2020-2039, hadgem2_es, Jun Anomaly, NPL
-1.783, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.40619, 2020-2039, hadgem2_es, Aug Anomaly, NPL
0.05232, 2020-2039, hadgem2_es, Sep Anomaly, NPL
7.5E-4, 2020-2039, hadgem2_es, Oct Anomaly, NPL
-0.0067, 2020-2039, hadgem2_es, Nov Anomaly, NPL
-0.0179, 2020-2039, hadgem2_es, Dec Anomaly, NPL
-0.5257, 2020-2039, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.0688, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
0.03901, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.0716, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.1375, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
0.05827, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
0.37187, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
0.78579, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
0.34406, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.4939, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.2603, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
0.56673, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
-0.0538, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.2723, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.1062, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
0.18511, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
0.03688, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.50588, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
0.66459, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.61387, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.73084, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.3154, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.1503, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.1834, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, NPL
-0.1059, 2020-2039, miroc5, Jan Anomaly, NPL
0.10411, 2020-2039, miroc5, Feb Anomaly, NPL
-0.0649, 2020-2039, miroc5, Mar Anomaly, NPL
0.23441, 2020-2039, miroc5, Apr Anomaly, NPL
0.07392, 2020-2039, miroc5, May Anomaly, NPL
0.58949, 2020-2039, miroc5, Jun Anomaly, NPL
-0.5035, 2020-2039, miroc5, Jul Anomaly, NPL
-0.0252, 2020-2039, miroc5, Aug Anomaly, NPL
0.56848, 2020-2039, miroc5, Sep Anomaly, NPL
0.30816, 2020-2039, miroc5, Oct Anomaly, NPL
-0.0131, 2020-2039, miroc5, Nov Anomaly, NPL
0.0747, 2020-2039, miroc5, Dec Anomaly, NPL
0.07577, 2020-2039, miroc_esm_chem, Jan Anomaly, NPL
0.42789, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
-0.2738, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
-0.0284, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
-0.0558, 2020-2039, miroc_esm_chem, May Anomaly, NPL
0.46788, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
1.12268, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
-0.1163, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
0.22988, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
-0.2428, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
-0.1519, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
-0.4899, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
-0.0349, 2020-2039, miroc_esm, Jan Anomaly, NPL
-0.2415, 2020-2039, miroc_esm, Feb Anomaly, NPL
0.02918, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.44624, 2020-2039, miroc_esm, Apr Anomaly, NPL
-0.3558, 2020-2039, miroc_esm, May Anomaly, NPL
0.29871, 2020-2039, miroc_esm, Jun Anomaly, NPL
0.73503, 2020-2039, miroc_esm, Jul Anomaly, NPL
0.08396, 2020-2039, miroc_esm, Aug Anomaly, NPL
0.09037, 2020-2039, miroc_esm, Sep Anomaly, NPL
0.1184, 2020-2039, miroc_esm, Oct Anomaly, NPL
