Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.0106, 2060-2079, access1_0, Jan Anomaly, NPL
-1.5294, 2060-2079, access1_0, Feb Anomaly, NPL
-0.8145, 2060-2079, access1_0, Mar Anomaly, NPL
-1.3247, 2060-2079, access1_0, Apr Anomaly, NPL
-2.8519, 2060-2079, access1_0, May Anomaly, NPL
-1.537, 2060-2079, access1_0, Jun Anomaly, NPL
-0.371, 2060-2079, access1_0, Jul Anomaly, NPL
-0.4626, 2060-2079, access1_0, Aug Anomaly, NPL
-2.3828, 2060-2079, access1_0, Sep Anomaly, NPL
-0.6981, 2060-2079, access1_0, Oct Anomaly, NPL
-0.6614, 2060-2079, access1_0, Nov Anomaly, NPL
-0.8677, 2060-2079, access1_0, Dec Anomaly, NPL
-1.3065, 2060-2079, access1_3, Jan Anomaly, NPL
-1.3228, 2060-2079, access1_3, Feb Anomaly, NPL
-0.4658, 2060-2079, access1_3, Mar Anomaly, NPL
-0.301, 2060-2079, access1_3, Apr Anomaly, NPL
-2.2025, 2060-2079, access1_3, May Anomaly, NPL
-2.6704, 2060-2079, access1_3, Jun Anomaly, NPL
-1.6305, 2060-2079, access1_3, Jul Anomaly, NPL
-1.087, 2060-2079, access1_3, Aug Anomaly, NPL
-2.7016, 2060-2079, access1_3, Sep Anomaly, NPL
-0.5645, 2060-2079, access1_3, Oct Anomaly, NPL
-0.7787, 2060-2079, access1_3, Nov Anomaly, NPL
-1.8132, 2060-2079, access1_3, Dec Anomaly, NPL
-2.0919, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.0678, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.8234, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.8969, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-1.9921, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-1.6022, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-1.0859, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-1.2729, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-2.0999, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.9703, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.4491, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-1.5524, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-2.8719, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-1.0842, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.6884, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.8396, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-2.2169, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-1.4613, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.3886, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-1.2242, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-2.4609, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-1.215, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.5449, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.7961, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-2.2323, 2060-2079, bnu_esm, Jan Anomaly, NPL
-1.8204, 2060-2079, bnu_esm, Feb Anomaly, NPL
-1.9399, 2060-2079, bnu_esm, Mar Anomaly, NPL
-0.8696, 2060-2079, bnu_esm, Apr Anomaly, NPL
-2.3645, 2060-2079, bnu_esm, May Anomaly, NPL
-1.9454, 2060-2079, bnu_esm, Jun Anomaly, NPL
-0.3932, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.498, 2060-2079, bnu_esm, Aug Anomaly, NPL
-2.6729, 2060-2079, bnu_esm, Sep Anomaly, NPL
-1.8876, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.9219, 2060-2079, bnu_esm, Nov Anomaly, NPL
