Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.6583, 2040-2059, access1_0, Jan Anomaly, NPL
-1.2082, 2040-2059, access1_0, Feb Anomaly, NPL
-0.6495, 2040-2059, access1_0, Mar Anomaly, NPL
-0.7126, 2040-2059, access1_0, Apr Anomaly, NPL
-2.0867, 2040-2059, access1_0, May Anomaly, NPL
-1.4088, 2040-2059, access1_0, Jun Anomaly, NPL
-0.3546, 2040-2059, access1_0, Jul Anomaly, NPL
-0.4271, 2040-2059, access1_0, Aug Anomaly, NPL
-2.289, 2040-2059, access1_0, Sep Anomaly, NPL
-0.5009, 2040-2059, access1_0, Oct Anomaly, NPL
-0.5815, 2040-2059, access1_0, Nov Anomaly, NPL
-0.526, 2040-2059, access1_0, Dec Anomaly, NPL
-1.2362, 2040-2059, access1_3, Jan Anomaly, NPL
-1.2817, 2040-2059, access1_3, Feb Anomaly, NPL
-0.3526, 2040-2059, access1_3, Mar Anomaly, NPL
-0.1012, 2040-2059, access1_3, Apr Anomaly, NPL
-1.2084, 2040-2059, access1_3, May Anomaly, NPL
-2.0666, 2040-2059, access1_3, Jun Anomaly, NPL
-1.4659, 2040-2059, access1_3, Jul Anomaly, NPL
-1.0404, 2040-2059, access1_3, Aug Anomaly, NPL
-2.0366, 2040-2059, access1_3, Sep Anomaly, NPL
-0.3201, 2040-2059, access1_3, Oct Anomaly, NPL
-0.6892, 2040-2059, access1_3, Nov Anomaly, NPL
-1.3651, 2040-2059, access1_3, Dec Anomaly, NPL
-1.2915, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-1.0661, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.8551, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.764, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-2.6455, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-1.6341, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
