Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.123, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-1.3284, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-1.0566, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-1.3731, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-3.3087, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-1.9497, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-1.1565, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-1.6703, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-2.941, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.7229, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.5716, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-1.8936, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-4.0275, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-2.075, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-1.169, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-1.4041, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-2.3374, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-1.7449, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-0.621, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-1.5404, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-2.9318, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-1.988, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.7497, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-2.7731, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-2.243, 2080-2099, ccsm4, Jan Anomaly, NPL
-2.0094, 2080-2099, ccsm4, Feb Anomaly, NPL
-1.1492, 2080-2099, ccsm4, Mar Anomaly, NPL
-1.4665, 2080-2099, ccsm4, Apr Anomaly, NPL
-3.2376, 2080-2099, ccsm4, May Anomaly, NPL
-1.167, 2080-2099, ccsm4, Jun Anomaly, NPL
-0.2053, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.1912, 2080-2099, ccsm4, Aug Anomaly, NPL
-1.4843, 2080-2099, ccsm4, Sep Anomaly, NPL
-2.1177, 2080-2099, ccsm4, Oct Anomaly, NPL
-1.5019, 2080-2099, ccsm4, Nov Anomaly, NPL
-2.5497, 2080-2099, ccsm4, Dec Anomaly, NPL
-4.3947, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-3.5002, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-1.5052, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-1.5094, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-4.1506, 2080-2099, cesm1_cam5, May Anomaly, NPL
-1.2222, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-0.2021, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-0.1638, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-1.6614, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-4.2585, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-2.2996, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-3.4439, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-3.0945, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-3.0385, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-1.1811, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-1.9948, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-2.9722, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-2.2175, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-0.8598, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-1.6444, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-3.5567, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-2.7701, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-1.0807, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-3.3032, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-5.3345, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-3.8765, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-2.9354, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-3.4972, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-5.7771, 2080-2099, gfdl_cm3, May Anomaly, NPL
-4.3369, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-0.8114, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-0.1833, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-2.3462, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-4.2719, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-2.4486, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-4.7824, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-1.2649, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-1.2191, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-1.6245, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-1.5275, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
