Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.3135, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.5165, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.6889, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.6396, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-1.3424, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-1.1247, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.9011, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.9521, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-1.6169, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.4732, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.3067, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-1.2013, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-2.4715, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-1.1255, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.6506, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.4184, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.9558, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-1.3442, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.403, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-0.6766, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-1.4872, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.4604, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.2046, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.413, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-1.6712, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.851, 2060-2079, bnu_esm, Feb Anomaly, NPL
-1.422, 2060-2079, bnu_esm, Mar Anomaly, NPL
