Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.3947, 2080-2099, access1_0, Jan Anomaly, NPL
-1.9506, 2080-2099, access1_0, Feb Anomaly, NPL
-0.9156, 2080-2099, access1_0, Mar Anomaly, NPL
-1.3653, 2080-2099, access1_0, Apr Anomaly, NPL
-3.0398, 2080-2099, access1_0, May Anomaly, NPL
-1.8669, 2080-2099, access1_0, Jun Anomaly, NPL
-0.3748, 2080-2099, access1_0, Jul Anomaly, NPL
-0.4648, 2080-2099, access1_0, Aug Anomaly, NPL
-2.4707, 2080-2099, access1_0, Sep Anomaly, NPL
-1.1306, 2080-2099, access1_0, Oct Anomaly, NPL
-0.7607, 2080-2099, access1_0, Nov Anomaly, NPL
-0.8783, 2080-2099, access1_0, Dec Anomaly, NPL
-1.8996, 2080-2099, access1_3, Jan Anomaly, NPL
-1.9785, 2080-2099, access1_3, Feb Anomaly, NPL
-0.6336, 2080-2099, access1_3, Mar Anomaly, NPL
-0.3783, 2080-2099, access1_3, Apr Anomaly, NPL
-2.6099, 2080-2099, access1_3, May Anomaly, NPL
-3.2209, 2080-2099, access1_3, Jun Anomaly, NPL
-1.6215, 2080-2099, access1_3, Jul Anomaly, NPL
-1.1947, 2080-2099, access1_3, Aug Anomaly, NPL
-3.5499, 2080-2099, access1_3, Sep Anomaly, NPL
-1.1183, 2080-2099, access1_3, Oct Anomaly, NPL
-0.846, 2080-2099, access1_3, Nov Anomaly, NPL
-1.8987, 2080-2099, access1_3, Dec Anomaly, NPL
-1.8336, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-1.1254, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.7838, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.8688, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-2.1684, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-1.7903, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-1.1414, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-1.5143, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-2.186, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.144, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.5222, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-2.0039, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-3.5832, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-1.4327, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.6634, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.9897, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-2.2871, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-1.6018, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-0.6009, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-1.3286, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-2.2348, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-1.4393, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.5307, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-2.1472, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-2.7002, 2080-2099, bnu_esm, Jan Anomaly, NPL
-1.8798, 2080-2099, bnu_esm, Feb Anomaly, NPL
-1.7206, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.7317, 2080-2099, bnu_esm, Apr Anomaly, NPL
-2.3053, 2080-2099, bnu_esm, May Anomaly, NPL
-1.8138, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.4821, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.5236, 2080-2099, bnu_esm, Aug Anomaly, NPL
-2.6348, 2080-2099, bnu_esm, Sep Anomaly, NPL
-2.548, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.9052, 2080-2099, bnu_esm, Nov Anomaly, NPL
-2.1019, 2080-2099, bnu_esm, Dec Anomaly, NPL
-4.4285, 2080-2099, canesm2, Jan Anomaly, NPL
-3.2342, 2080-2099, canesm2, Feb Anomaly, NPL
-2.3633, 2080-2099, canesm2, Mar Anomaly, NPL
-1.5345, 2080-2099, canesm2, Apr Anomaly, NPL
-3.3475, 2080-2099, canesm2, May Anomaly, NPL
-1.3266, 2080-2099, canesm2, Jun Anomaly, NPL
-0.0596, 2080-2099, canesm2, Jul Anomaly, NPL
-0.0185, 2080-2099, canesm2, Aug Anomaly, NPL
-0.6794, 2080-2099, canesm2, Sep Anomaly, NPL
-3.4247, 2080-2099, canesm2, Oct Anomaly, NPL
-1.7376, 2080-2099, canesm2, Nov Anomaly, NPL
-3.883, 2080-2099, canesm2, Dec Anomaly, NPL
-1.5031, 2080-2099, ccsm4, Jan Anomaly, NPL
-1.5268, 2080-2099, ccsm4, Feb Anomaly, NPL
-1.075, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.8631, 2080-2099, ccsm4, Apr Anomaly, NPL
-2.0687, 2080-2099, ccsm4, May Anomaly, NPL
-0.8462, 2080-2099, ccsm4, Jun Anomaly, NPL
-0.198, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.1797, 2080-2099, ccsm4, Aug Anomaly, NPL
-1.0277, 2080-2099, ccsm4, Sep Anomaly, NPL
-1.2141, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.9073, 2080-2099, ccsm4, Nov Anomaly, NPL
-0.6028, 2080-2099, ccsm4, Dec Anomaly, NPL
-1.3485, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-1.0897, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-0.9168, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-0.6099, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-1.4219, 2080-2099, cesm1_bgc, May Anomaly, NPL
-0.8332, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
-0.1536, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
-0.1505, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
-2.059, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
-1.0358, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-1.392, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-0.8775, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-3.1452, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-2.4186, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-1.168, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.8438, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-2.9533, 2080-2099, cesm1_cam5, May Anomaly, NPL
-1.057, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-0.2006, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-0.1607, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-1.4455, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-2.209, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-1.8416, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-1.2992, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-2.9212, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-1.86, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-1.332, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
-0.8805, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-2.7226, 2080-2099, cnrm_cm5, May Anomaly, NPL
