Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.0306, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-0.533, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-0.4843, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-1.6841, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-0.9781, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-1.1966, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-0.5136, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-1.1736, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.3543, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
-1.1204, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.6643, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-2.3083, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-1.0087, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-0.4215, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-0.5235, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-1.9096, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-0.962, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-1.1054, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-1.0045, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
-0.8462, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-0.9169, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-0.5565, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-0.9436, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-1.9704, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.8162, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.117, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
-0.153, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
-1.8984, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
