Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.0728, 2080-2099, access1_0, Jan Anomaly, NPL
-2.5041, 2080-2099, access1_0, Feb Anomaly, NPL
-1.4429, 2080-2099, access1_0, Mar Anomaly, NPL
-3.5062, 2080-2099, access1_0, Apr Anomaly, NPL
-4.9174, 2080-2099, access1_0, May Anomaly, NPL
-2.1819, 2080-2099, access1_0, Jun Anomaly, NPL
-0.3789, 2080-2099, access1_0, Jul Anomaly, NPL
-0.4679, 2080-2099, access1_0, Aug Anomaly, NPL
-4.072, 2080-2099, access1_0, Sep Anomaly, NPL
-2.9147, 2080-2099, access1_0, Oct Anomaly, NPL
-1.103, 2080-2099, access1_0, Nov Anomaly, NPL
-2.1946, 2080-2099, access1_0, Dec Anomaly, NPL
-3.0185, 2080-2099, access1_3, Jan Anomaly, NPL
-2.5415, 2080-2099, access1_3, Feb Anomaly, NPL
-0.7074, 2080-2099, access1_3, Mar Anomaly, NPL
-1.4235, 2080-2099, access1_3, Apr Anomaly, NPL
-3.8511, 2080-2099, access1_3, May Anomaly, NPL
-4.3466, 2080-2099, access1_3, Jun Anomaly, NPL
-1.7929, 2080-2099, access1_3, Jul Anomaly, NPL
-1.2919, 2080-2099, access1_3, Aug Anomaly, NPL
-4.6166, 2080-2099, access1_3, Sep Anomaly, NPL
-2.1717, 2080-2099, access1_3, Oct Anomaly, NPL
-1.0424, 2080-2099, access1_3, Nov Anomaly, NPL
-3.0018, 2080-2099, access1_3, Dec Anomaly, NPL
-3.43, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-2.334, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-1.4492, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-2.7487, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-4.663, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-2.809, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-1.4506, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-2.2183, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-4.56, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-3.4001, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.7636, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-2.7219, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-6.3643, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-3.0519, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-1.7056, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-2.6174, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-4.7407, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-2.5284, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-0.7547, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-1.9909, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-4.5522, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-4.2313, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-1.6901, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-3.9128, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-4.5231, 2080-2099, bnu_esm, Jan Anomaly, NPL
-3.6677, 2080-2099, bnu_esm, Feb Anomaly, NPL
-2.7267, 2080-2099, bnu_esm, Mar Anomaly, NPL
-2.5363, 2080-2099, bnu_esm, Apr Anomaly, NPL
-5.3257, 2080-2099, bnu_esm, May Anomaly, NPL
-2.916, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.529, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.5568, 2080-2099, bnu_esm, Aug Anomaly, NPL
-3.1497, 2080-2099, bnu_esm, Sep Anomaly, NPL
-5.1658, 2080-2099, bnu_esm, Oct Anomaly, NPL
-1.7087, 2080-2099, bnu_esm, Nov Anomaly, NPL
-3.4637, 2080-2099, bnu_esm, Dec Anomaly, NPL
-7.1805, 2080-2099, canesm2, Jan Anomaly, NPL
-5.3739, 2080-2099, canesm2, Feb Anomaly, NPL
-3.6925, 2080-2099, canesm2, Mar Anomaly, NPL
-4.0916, 2080-2099, canesm2, Apr Anomaly, NPL
-6.1574, 2080-2099, canesm2, May Anomaly, NPL
-1.558, 2080-2099, canesm2, Jun Anomaly, NPL
-0.079, 2080-2099, canesm2, Jul Anomaly, NPL
-0.0185, 2080-2099, canesm2, Aug Anomaly, NPL
-0.7893, 2080-2099, canesm2, Sep Anomaly, NPL
-6.3033, 2080-2099, canesm2, Oct Anomaly, NPL
-3.0675, 2080-2099, canesm2, Nov Anomaly, NPL
-6.0751, 2080-2099, canesm2, Dec Anomaly, NPL
-3.2334, 2080-2099, ccsm4, Jan Anomaly, NPL
-2.8523, 2080-2099, ccsm4, Feb Anomaly, NPL
-1.5194, 2080-2099, ccsm4, Mar Anomaly, NPL
-2.2111, 2080-2099, ccsm4, Apr Anomaly, NPL
-4.9957, 2080-2099, ccsm4, May Anomaly, NPL
-1.5084, 2080-2099, ccsm4, Jun Anomaly, NPL
-0.2113, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.192, 2080-2099, ccsm4, Aug Anomaly, NPL
-1.6139, 2080-2099, ccsm4, Sep Anomaly, NPL
-4.2098, 2080-2099, ccsm4, Oct Anomaly, NPL
-1.5977, 2080-2099, ccsm4, Nov Anomaly, NPL
-2.7982, 2080-2099, ccsm4, Dec Anomaly, NPL
-3.3449, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-2.6152, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-1.3619, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-2.1655, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-4.4022, 2080-2099, cesm1_bgc, May Anomaly, NPL
-1.425, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
-0.1725, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
-0.1646, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
-2.4901, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
-4.1913, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-1.9655, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-3.0813, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-5.2181, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-3.9634, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-1.9896, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-2.6124, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-4.6444, 2080-2099, cesm1_cam5, May Anomaly, NPL
-1.1972, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-0.2029, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-0.1642, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-1.7107, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-4.9023, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-2.5953, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-3.9289, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-5.0139, 2080-2099, cmcc_cesm, Jan Anomaly, NPL
-3.4025, 2080-2099, cmcc_cesm, Feb Anomaly, NPL
-2.482, 2080-2099, cmcc_cesm, Mar Anomaly, NPL
-5.1609, 2080-2099, cmcc_cesm, Apr Anomaly, NPL
-5.898, 2080-2099, cmcc_cesm, May Anomaly, NPL
-2.3989, 2080-2099, cmcc_cesm, Jun Anomaly, NPL
-0.876, 2080-2099, cmcc_cesm, Jul Anomaly, NPL
-1.8681, 2080-2099, cmcc_cesm, Aug Anomaly, NPL
-4.3949, 2080-2099, cmcc_cesm, Sep Anomaly, NPL
-4.2765, 2080-2099, cmcc_cesm, Oct Anomaly, NPL
-1.736, 2080-2099, cmcc_cesm, Nov Anomaly, NPL
-3.9787, 2080-2099, cmcc_cesm, Dec Anomaly, NPL
-4.3083, 2080-2099, cmcc_cm, Jan Anomaly, NPL
-3.3166, 2080-2099, cmcc_cm, Feb Anomaly, NPL
-3.2922, 2080-2099, cmcc_cm, Mar Anomaly, NPL
-5.2746, 2080-2099, cmcc_cm, Apr Anomaly, NPL
-6.0285, 2080-2099, cmcc_cm, May Anomaly, NPL
-0.9672, 2080-2099, cmcc_cm, Jun Anomaly, NPL
-0.0108, 2080-2099, cmcc_cm, Jul Anomaly, NPL
-0.0217, 2080-2099, cmcc_cm, Aug Anomaly, NPL
-2.0294, 2080-2099, cmcc_cm, Sep Anomaly, NPL
-6.5142, 2080-2099, cmcc_cm, Oct Anomaly, NPL
-2.7682, 2080-2099, cmcc_cm, Nov Anomaly, NPL
-3.3586, 2080-2099, cmcc_cm, Dec Anomaly, NPL
-6.0754, 2080-2099, cmcc_cms, Jan Anomaly, NPL
-4.586, 2080-2099, cmcc_cms, Feb Anomaly, NPL
-3.7492, 2080-2099, cmcc_cms, Mar Anomaly, NPL
-5.6084, 2080-2099, cmcc_cms, Apr Anomaly, NPL
-5.9541, 2080-2099, cmcc_cms, May Anomaly, NPL
-1.4884, 2080-2099, cmcc_cms, Jun Anomaly, NPL
-0.2085, 2080-2099, cmcc_cms, Jul Anomaly, NPL
-0.5321, 2080-2099, cmcc_cms, Aug Anomaly, NPL
-3.4916, 2080-2099, cmcc_cms, Sep Anomaly, NPL
-5.766, 2080-2099, cmcc_cms, Oct Anomaly, NPL
-2.6848, 2080-2099, cmcc_cms, Nov Anomaly, NPL
-4.6223, 2080-2099, cmcc_cms, Dec Anomaly, NPL
-3.7788, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-3.2544, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-2.1995, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
-2.5589, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-5.4223, 2080-2099, cnrm_cm5, May Anomaly, NPL
-2.496, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-0.1565, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-0.0673, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-2.0713, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
-5.6236, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
