Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.33658, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
0.87349, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
1.72458, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.593, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.79816, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.54498, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.80817, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.73442, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.56461, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.38724, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
1.82941, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
2.03788, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
1.64467, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.23822, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.8991, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.39951, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.04109, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.31087, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.48554, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.60443, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.40255, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
1.16658, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
1.12372, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.94066, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
1.81513, 2020-2039, ccsm4, Jan Anomaly, NPL
1.41733, 2020-2039, ccsm4, Feb Anomaly, NPL
1.27643, 2020-2039, ccsm4, Mar Anomaly, NPL
2.3769, 2020-2039, ccsm4, Apr Anomaly, NPL
2.54118, 2020-2039, ccsm4, May Anomaly, NPL
1.50027, 2020-2039, ccsm4, Jun Anomaly, NPL
1.06019, 2020-2039, ccsm4, Jul Anomaly, NPL
1.32535, 2020-2039, ccsm4, Aug Anomaly, NPL
0.70956, 2020-2039, ccsm4, Sep Anomaly, NPL
1.25593, 2020-2039, ccsm4, Oct Anomaly, NPL
2.01083, 2020-2039, ccsm4, Nov Anomaly, NPL
2.04367, 2020-2039, ccsm4, Dec Anomaly, NPL
2.46691, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
2.2604, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
1.96771, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.56167, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.22856, 2020-2039, cesm1_cam5, May Anomaly, NPL
1.44051, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
1.45816, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
1.10489, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
1.61934, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.61641, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
1.57473, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
1.58267, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.83087, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
1.19834, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
1.06003, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
0.84649, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.10618, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.03185, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.64524, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.77291, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.47867, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.82505, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.82114, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
1.55854, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
1.30029, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
1.54719, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
1.87997, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
1.42095, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
2.76665, 2020-2039, gfdl_cm3, May Anomaly, NPL
3.11691, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
3.20699, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
2.48124, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
1.18042, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
0.53826, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.84918, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
1.79997, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.4238, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
0.79601, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.87152, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.49654, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
2.09263, 2020-2039, gfdl_esm2g, May Anomaly, NPL
0.21214, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.83529, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
-0.0579, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.35184, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.75531, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
1.07358, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.43638, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.77815, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
0.13995, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.90912, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
1.36688, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
1.90301, 2020-2039, gfdl_esm2m, May Anomaly, NPL
1.21108, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.77628, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.46648, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
0.95117, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
1.1081, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
0.61419, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.38075, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
0.4223, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
0.8123, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
1.41481, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
1.07125, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.84152, 2020-2039, hadgem2_ao, May Anomaly, NPL
0.52458, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
0.16082, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.26611, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
1.71975, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.14534, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
1.37224, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
1.44045, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
1.41717, 2020-2039, hadgem2_es, Jan Anomaly, NPL
0.92325, 2020-2039, hadgem2_es, Feb Anomaly, NPL
0.84116, 2020-2039, hadgem2_es, Mar Anomaly, NPL
0.78942, 2020-2039, hadgem2_es, Apr Anomaly, NPL
0.72096, 2020-2039, hadgem2_es, May Anomaly, NPL
0.41663, 2020-2039, hadgem2_es, Jun Anomaly, NPL
1.06014, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.84726, 2020-2039, hadgem2_es, Aug Anomaly, NPL
1.52193, 2020-2039, hadgem2_es, Sep Anomaly, NPL
1.26101, 2020-2039, hadgem2_es, Oct Anomaly, NPL
0.66038, 2020-2039, hadgem2_es, Nov Anomaly, NPL
0.88351, 2020-2039, hadgem2_es, Dec Anomaly, NPL
1.50145, 2020-2039, ipsl_cm5a_lr, Jan Anomaly, NPL
1.63928, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
2.76147, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
0.77836, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
0.69412, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
1.27373, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
1.10314, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
1.03987, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
1.48796, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
2.00522, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
1.66702, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
1.25257, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
2.78008, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
3.10358, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
2.46899, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
1.75091, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
1.49822, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.9839, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
1.33131, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.84497, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.95164, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.93468, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
1.26301, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
1.5661, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, NPL
1.18302, 2020-2039, miroc5, Jan Anomaly, NPL
0.28906, 2020-2039, miroc5, Feb Anomaly, NPL
0.88519, 2020-2039, miroc5, Mar Anomaly, NPL
0.42429, 2020-2039, miroc5, Apr Anomaly, NPL
2.10128, 2020-2039, miroc5, May Anomaly, NPL
1.44091, 2020-2039, miroc5, Jun Anomaly, NPL
0.75058, 2020-2039, miroc5, Jul Anomaly, NPL
0.70177, 2020-2039, miroc5, Aug Anomaly, NPL
0.72765, 2020-2039, miroc5, Sep Anomaly, NPL
1.06366, 2020-2039, miroc5, Oct Anomaly, NPL
1.30177, 2020-2039, miroc5, Nov Anomaly, NPL
0.41132, 2020-2039, miroc5, Dec Anomaly, NPL
1.37688, 2020-2039, miroc_esm_chem, Jan Anomaly, NPL
1.95136, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
0.10003, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
0.35814, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
1.57795, 2020-2039, miroc_esm_chem, May Anomaly, NPL
1.55235, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
1.28723, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
0.72375, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
0.65929, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
0.18445, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
1.00913, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
1.51084, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
1.80077, 2020-2039, miroc_esm, Jan Anomaly, NPL
1.74459, 2020-2039, miroc_esm, Feb Anomaly, NPL
1.10533, 2020-2039, miroc_esm, Mar Anomaly, NPL
1.00194, 2020-2039, miroc_esm, Apr Anomaly, NPL
0.53419, 2020-2039, miroc_esm, May Anomaly, NPL
1.06135, 2020-2039, miroc_esm, Jun Anomaly, NPL
0.85924, 2020-2039, miroc_esm, Jul Anomaly, NPL
1.06483, 2020-2039, miroc_esm, Aug Anomaly, NPL
1.05085, 2020-2039, miroc_esm, Sep Anomaly, NPL
0.74354, 2020-2039, miroc_esm, Oct Anomaly, NPL
1.50205, 2020-2039, miroc_esm, Nov Anomaly, NPL
1.50022, 2020-2039, miroc_esm, Dec Anomaly, NPL
2.25441, 2020-2039, mri_cgcm3, Jan Anomaly, NPL
0.76436, 2020-2039, mri_cgcm3, Feb Anomaly, NPL
1.17646, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
1.1722, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
0.817, 2020-2039, mri_cgcm3, May Anomaly, NPL
0.7978, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
0.49421, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
0.39633, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
0.42817, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-0.454, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
0.77371, 2020-2039, mri_cgcm3, Nov Anomaly, NPL
2.35183, 2020-2039, mri_cgcm3, Dec Anomaly, NPL
0.93425, 2020-2039, noresm1_m, Jan Anomaly, NPL
-0.1911, 2020-2039, noresm1_m, Feb Anomaly, NPL
1.26033, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.68974, 2020-2039, noresm1_m, Apr Anomaly, NPL
0.87141, 2020-2039, noresm1_m, May Anomaly, NPL
1.19031, 2020-2039, noresm1_m, Jun Anomaly, NPL
0.48674, 2020-2039, noresm1_m, Jul Anomaly, NPL
0.70228, 2020-2039, noresm1_m, Aug Anomaly, NPL
0.91953, 2020-2039, noresm1_m, Sep Anomaly, NPL
0.90347, 2020-2039, noresm1_m, Oct Anomaly, NPL
1.70582, 2020-2039, noresm1_m, Nov Anomaly, NPL
1.75041, 2020-2039, noresm1_m, Dec Anomaly, NPL
-0.8358, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
-0.9179, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-1.0857, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-1.4336, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.4455, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-1.4066, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-1.1549, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-1.9745, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
