Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.19625, 2040-2059, access1_0, Jan Anomaly, NPL
3.01148, 2040-2059, access1_0, Feb Anomaly, NPL
2.83377, 2040-2059, access1_0, Mar Anomaly, NPL
3.05508, 2040-2059, access1_0, Apr Anomaly, NPL
2.18361, 2040-2059, access1_0, May Anomaly, NPL
2.13774, 2040-2059, access1_0, Jun Anomaly, NPL
1.92688, 2040-2059, access1_0, Jul Anomaly, NPL
1.96215, 2040-2059, access1_0, Aug Anomaly, NPL
2.48767, 2040-2059, access1_0, Sep Anomaly, NPL
2.50779, 2040-2059, access1_0, Oct Anomaly, NPL
1.34707, 2040-2059, access1_0, Nov Anomaly, NPL
2.8995, 2040-2059, access1_0, Dec Anomaly, NPL
2.29914, 2040-2059, access1_3, Jan Anomaly, NPL
1.90448, 2040-2059, access1_3, Feb Anomaly, NPL
1.32701, 2040-2059, access1_3, Mar Anomaly, NPL
1.83733, 2040-2059, access1_3, Apr Anomaly, NPL
1.79423, 2040-2059, access1_3, May Anomaly, NPL
1.6703, 2040-2059, access1_3, Jun Anomaly, NPL
1.69977, 2040-2059, access1_3, Jul Anomaly, NPL
1.77109, 2040-2059, access1_3, Aug Anomaly, NPL
2.73402, 2040-2059, access1_3, Sep Anomaly, NPL
2.12781, 2040-2059, access1_3, Oct Anomaly, NPL
2.45852, 2040-2059, access1_3, Nov Anomaly, NPL
2.60669, 2040-2059, access1_3, Dec Anomaly, NPL
3.60263, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
2.53731, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.46859, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
1.75702, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
3.78754, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.07277, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.88778, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.07599, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.29039, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.8464, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
3.12657, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.77817, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
3.14776, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
1.85277, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.09965, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
2.3624, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.26683, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.03225, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.4395, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
2.24662, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
1.81227, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.84607, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
2.56628, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
2.60401, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
3.86505, 2040-2059, bnu_esm, Jan Anomaly, NPL
3.43252, 2040-2059, bnu_esm, Feb Anomaly, NPL
3.53242, 2040-2059, bnu_esm, Mar Anomaly, NPL
4.48717, 2040-2059, bnu_esm, Apr Anomaly, NPL
2.59991, 2040-2059, bnu_esm, May Anomaly, NPL
1.97264, 2040-2059, bnu_esm, Jun Anomaly, NPL
2.14718, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.83686, 2040-2059, bnu_esm, Aug Anomaly, NPL
2.84705, 2040-2059, bnu_esm, Sep Anomaly, NPL
3.51367, 2040-2059, bnu_esm, Oct Anomaly, NPL
2.72805, 2040-2059, bnu_esm, Nov Anomaly, NPL
3.63075, 2040-2059, bnu_esm, Dec Anomaly, NPL
5.82441, 2040-2059, canesm2, Jan Anomaly, NPL
5.09602, 2040-2059, canesm2, Feb Anomaly, NPL
4.02298, 2040-2059, canesm2, Mar Anomaly, NPL
2.78704, 2040-2059, canesm2, Apr Anomaly, NPL
4.65078, 2040-2059, canesm2, May Anomaly, NPL
3.48428, 2040-2059, canesm2, Jun Anomaly, NPL
2.78032, 2040-2059, canesm2, Jul Anomaly, NPL
2.59625, 2040-2059, canesm2, Aug Anomaly, NPL
2.77979, 2040-2059, canesm2, Sep Anomaly, NPL
4.04366, 2040-2059, canesm2, Oct Anomaly, NPL
3.79245, 2040-2059, canesm2, Nov Anomaly, NPL
4.92858, 2040-2059, canesm2, Dec Anomaly, NPL
2.35626, 2040-2059, ccsm4, Jan Anomaly, NPL
1.89898, 2040-2059, ccsm4, Feb Anomaly, NPL
3.22317, 2040-2059, ccsm4, Mar Anomaly, NPL
3.43712, 2040-2059, ccsm4, Apr Anomaly, NPL
3.03453, 2040-2059, ccsm4, May Anomaly, NPL
2.17533, 2040-2059, ccsm4, Jun Anomaly, NPL
2.04721, 2040-2059, ccsm4, Jul Anomaly, NPL
2.33494, 2040-2059, ccsm4, Aug Anomaly, NPL
1.48665, 2040-2059, ccsm4, Sep Anomaly, NPL
2.76642, 2040-2059, ccsm4, Oct Anomaly, NPL
2.85703, 2040-2059, ccsm4, Nov Anomaly, NPL
3.12724, 2040-2059, ccsm4, Dec Anomaly, NPL
