Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.57368, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.02891, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
1.51344, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.08803, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.20011, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.87718, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.91736, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.99066, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.05877, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.73428, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
2.54751, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.81801, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
1.74147, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.79435, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.23416, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.23025, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.80837, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.76457, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.80744, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.67684, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.95459, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.80271, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.96341, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
1.99426, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
1.97031, 2040-2059, bnu_esm, Jan Anomaly, NPL
2.33393, 2040-2059, bnu_esm, Feb Anomaly, NPL
1.3582, 2040-2059, bnu_esm, Mar Anomaly, NPL
3.05588, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.71099, 2040-2059, bnu_esm, May Anomaly, NPL
1.498, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.04841, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.5247, 2040-2059, bnu_esm, Aug Anomaly, NPL
1.97162, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.8112, 2040-2059, bnu_esm, Oct Anomaly, NPL
1.19156, 2040-2059, bnu_esm, Nov Anomaly, NPL
1.67935, 2040-2059, bnu_esm, Dec Anomaly, NPL
3.23972, 2040-2059, canesm2, Jan Anomaly, NPL
2.71169, 2040-2059, canesm2, Feb Anomaly, NPL
3.01929, 2040-2059, canesm2, Mar Anomaly, NPL
2.03007, 2040-2059, canesm2, Apr Anomaly, NPL
1.86775, 2040-2059, canesm2, May Anomaly, NPL
1.60816, 2040-2059, canesm2, Jun Anomaly, NPL
1.75721, 2040-2059, canesm2, Jul Anomaly, NPL
1.53126, 2040-2059, canesm2, Aug Anomaly, NPL
2.37462, 2040-2059, canesm2, Sep Anomaly, NPL
2.4053, 2040-2059, canesm2, Oct Anomaly, NPL
2.74684, 2040-2059, canesm2, Nov Anomaly, NPL
3.61709, 2040-2059, canesm2, Dec Anomaly, NPL
1.10238, 2040-2059, ccsm4, Jan Anomaly, NPL
1.74855, 2040-2059, ccsm4, Feb Anomaly, NPL
1.73042, 2040-2059, ccsm4, Mar Anomaly, NPL
1.76906, 2040-2059, ccsm4, Apr Anomaly, NPL
1.58308, 2040-2059, ccsm4, May Anomaly, NPL
1.23796, 2040-2059, ccsm4, Jun Anomaly, NPL
0.99398, 2040-2059, ccsm4, Jul Anomaly, NPL
1.28568, 2040-2059, ccsm4, Aug Anomaly, NPL
0.72935, 2040-2059, ccsm4, Sep Anomaly, NPL
1.07435, 2040-2059, ccsm4, Oct Anomaly, NPL
1.28622, 2040-2059, ccsm4, Nov Anomaly, NPL
1.35318, 2040-2059, ccsm4, Dec Anomaly, NPL
2.14715, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
1.87668, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
2.83166, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.99884, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.88527, 2040-2059, cesm1_cam5, May Anomaly, NPL
1.67938, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
1.48031, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.57394, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.11219, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
2.10448, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
1.78676, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
1.30071, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
1.54715, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
1.81474, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
1.53186, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.77336, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
2.27853, 2040-2059, cnrm_cm5, May Anomaly, NPL
1.72867, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
0.74678, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.47766, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
0.91159, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
0.80283, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
1.78394, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
1.5777, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
2.83439, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
3.39683, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
2.31115, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.73124, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
1.9175, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.5558, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
1.54835, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.73592, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
1.60087, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
1.56249, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
2.0527, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
2.6139, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
2.30831, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
2.3255, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
2.16144, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
2.15764, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
3.79148, 2040-2059, gfdl_cm3, May Anomaly, NPL
4.20835, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
3.65999, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
4.4206, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
4.54603, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
2.5753, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
1.9901, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
3.53278, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
1.15251, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
0.19079, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
2.15619, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.21352, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
1.08495, 2040-2059, gfdl_esm2g, May Anomaly, NPL
0.9784, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
1.40834, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.34181, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.89514, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
0.76209, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
1.93578, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
0.82031, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
0.53423, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
0.38341, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
0.64138, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
1.47768, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
1.68315, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.32481, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
0.81065, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.67497, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
1.50752, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
1.24174, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
1.08558, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
0.25143, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
0.86762, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
1.2254, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
2.39382, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
1.07951, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.84407, 2040-2059, hadgem2_ao, May Anomaly, NPL
0.71654, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.62542, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.50693, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
2.46951, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.75728, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
1.32442, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
1.39942, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
2.40167, 2040-2059, hadgem2_es, Jan Anomaly, NPL
1.75946, 2040-2059, hadgem2_es, Feb Anomaly, NPL
2.41019, 2040-2059, hadgem2_es, Mar Anomaly, NPL
1.24499, 2040-2059, hadgem2_es, Apr Anomaly, NPL
1.05841, 2040-2059, hadgem2_es, May Anomaly, NPL
0.85721, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.39843, 2040-2059, hadgem2_es, Jul Anomaly, NPL
1.2242, 2040-2059, hadgem2_es, Aug Anomaly, NPL
1.94956, 2040-2059, hadgem2_es, Sep Anomaly, NPL
1.22291, 2040-2059, hadgem2_es, Oct Anomaly, NPL
0.24471, 2040-2059, hadgem2_es, Nov Anomaly, NPL
0.84804, 2040-2059, hadgem2_es, Dec Anomaly, NPL
1.80937, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
2.23078, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
1.54588, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
2.26491, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
1.00914, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
1.12746, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
1.24192, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
1.13206, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
1.90826, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
1.90619, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
2.1995, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
1.78196, 2040-2059, ipsl_cm5a_lr, Dec Anomaly, NPL
3.00557, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
2.45273, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
2.5514, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
2.84205, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
1.39771, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
1.30414, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
1.19499, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
1.42482, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
1.72256, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
2.36638, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
1.52756, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
1.71523, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
2.14834, 2040-2059, miroc5, Jan Anomaly, NPL
2.2455, 2040-2059, miroc5, Feb Anomaly, NPL
2.08991, 2040-2059, miroc5, Mar Anomaly, NPL
1.75536, 2040-2059, miroc5, Apr Anomaly, NPL
2.41289, 2040-2059, miroc5, May Anomaly, NPL
2.29923, 2040-2059, miroc5, Jun Anomaly, NPL
1.25889, 2040-2059, miroc5, Jul Anomaly, NPL
1.10783, 2040-2059, miroc5, Aug Anomaly, NPL
1.33145, 2040-2059, miroc5, Sep Anomaly, NPL
2.04301, 2040-2059, miroc5, Oct Anomaly, NPL
1.85783, 2040-2059, miroc5, Nov Anomaly, NPL
1.50481, 2040-2059, miroc5, Dec Anomaly, NPL
3.71135, 2040-2059, miroc_esm_chem, Jan Anomaly, NPL
3.30152, 2040-2059, miroc_esm_chem, Feb Anomaly, NPL
2.29014, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
2.11802, 2040-2059, miroc_esm_chem, Apr Anomaly, NPL
3.37529, 2040-2059, miroc_esm_chem, May Anomaly, NPL
1.94555, 2040-2059, miroc_esm_chem, Jun Anomaly, NPL
1.82893, 2040-2059, miroc_esm_chem, Jul Anomaly, NPL
1.58059, 2040-2059, miroc_esm_chem, Aug Anomaly, NPL
1.42454, 2040-2059, miroc_esm_chem, Sep Anomaly, NPL
0.72511, 2040-2059, miroc_esm_chem, Oct Anomaly, NPL
2.70674, 2040-2059, miroc_esm_chem, Nov Anomaly, NPL
4.65392, 2040-2059, miroc_esm_chem, Dec Anomaly, NPL
1.34855, 2040-2059, miroc_esm, Jan Anomaly, NPL
1.44248, 2040-2059, miroc_esm, Feb Anomaly, NPL
0.79131, 2040-2059, miroc_esm, Mar Anomaly, NPL
2.08055, 2040-2059, miroc_esm, Apr Anomaly, NPL
2.16021, 2040-2059, miroc_esm, May Anomaly, NPL
1.60013, 2040-2059, miroc_esm, Jun Anomaly, NPL
1.62808, 2040-2059, miroc_esm, Jul Anomaly, NPL
1.75096, 2040-2059, miroc_esm, Aug Anomaly, NPL
1.44436, 2040-2059, miroc_esm, Sep Anomaly, NPL
1.77437, 2040-2059, miroc_esm, Oct Anomaly, NPL
1.67115, 2040-2059, miroc_esm, Nov Anomaly, NPL
2.4245, 2040-2059, miroc_esm, Dec Anomaly, NPL
2.78241, 2040-2059, mpi_esm_lr, Jan Anomaly, NPL
2.80918, 2040-2059, mpi_esm_lr, Feb Anomaly, NPL
1.45171, 2040-2059, mpi_esm_lr, Mar Anomaly, NPL
2.11592, 2040-2059, mpi_esm_lr, Apr Anomaly, NPL
1.82513, 2040-2059, mpi_esm_lr, May Anomaly, NPL
1.2789, 2040-2059, mpi_esm_lr, Jun Anomaly, NPL
0.58582, 2040-2059, mpi_esm_lr, Jul Anomaly, NPL
1.13195, 2040-2059, mpi_esm_lr, Aug Anomaly, NPL
0.71672, 2040-2059, mpi_esm_lr, Sep Anomaly, NPL
1.03228, 2040-2059, mpi_esm_lr, Oct Anomaly, NPL
1.38925, 2040-2059, mpi_esm_lr, Nov Anomaly, NPL
