Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
1.39929, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
7.57967, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
37.5929, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
88.7083, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
104.076, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
59.4527, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
63.5395, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
62.362, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
33.2474, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
29.7032, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
13.7489, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
2.88613, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.82973, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.8227, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
14.9241, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
64.7826, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
91.3034, 2060-2079, bcc_csm1_1, May Anomaly, NPL
83.062, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
47.674, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
21.8145, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
34.9939, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
47.7123, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
17.968, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.2436, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
2.37373, 2060-2079, ccsm4, Jan Anomaly, NPL
6.78499, 2060-2079, ccsm4, Feb Anomaly, NPL
50.627, 2060-2079, ccsm4, Mar Anomaly, NPL
90.854, 2060-2079, ccsm4, Apr Anomaly, NPL
125.282, 2060-2079, ccsm4, May Anomaly, NPL
97.5917, 2060-2079, ccsm4, Jun Anomaly, NPL
67.617, 2060-2079, ccsm4, Jul Anomaly, NPL
75.4743, 2060-2079, ccsm4, Aug Anomaly, NPL
67.6853, 2060-2079, ccsm4, Sep Anomaly, NPL
51.9214, 2060-2079, ccsm4, Oct Anomaly, NPL
17.4124, 2060-2079, ccsm4, Nov Anomaly, NPL
3.58413, 2060-2079, ccsm4, Dec Anomaly, NPL
2.48241, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
11.2299, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
56.0799, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
101.932, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
106.8, 2060-2079, cesm1_cam5, May Anomaly, NPL
124.73, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
103.966, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
102.522, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
97.7166, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
83.0414, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
28.2141, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
5.47366, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.35794, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
2.38365, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
29.5542, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
77.0482, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
106.503, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
110.621, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
85.6341, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
74.1477, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
41.3604, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
42.1655, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
9.46127, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.97251, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
5.89501, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
11.3041, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
49.8132, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
112.571, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
164.97, 2060-2079, gfdl_cm3, May Anomaly, NPL
137.062, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
98.6635, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
102.727, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
105.206, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
84.225, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
24.7188, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
4.92431, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-0.7092, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
7.9818, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
28.2986, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
65.7664, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
95.9924, 2060-2079, gfdl_esm2g, May Anomaly, NPL
79.4312, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
49.7973, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
43.3312, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
41.1978, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
33.3606, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
5.75566, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
1.13524, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.52189, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.9162, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
27.3642, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
63.7144, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
139.819, 2060-2079, gfdl_esm2m, May Anomaly, NPL
109.932, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
73.3957, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
64.2629, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
52.9391, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
36.1491, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
7.54612, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-0.1199, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
1.65992, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
6.06042, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
31.607, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
50.5514, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
55.2869, 2060-2079, hadgem2_ao, May Anomaly, NPL
48.9661, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
37.5516, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
43.0625, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
55.4056, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
47.7853, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
13.0653, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
2.46324, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
4.70584, 2060-2079, hadgem2_es, Jan Anomaly, NPL
15.1549, 2060-2079, hadgem2_es, Feb Anomaly, NPL
39.4754, 2060-2079, hadgem2_es, Mar Anomaly, NPL
65.3641, 2060-2079, hadgem2_es, Apr Anomaly, NPL
64.7024, 2060-2079, hadgem2_es, May Anomaly, NPL
92.8258, 2060-2079, hadgem2_es, Jun Anomaly, NPL
78.7612, 2060-2079, hadgem2_es, Jul Anomaly, NPL
75.7134, 2060-2079, hadgem2_es, Aug Anomaly, NPL
77.2015, 2060-2079, hadgem2_es, Sep Anomaly, NPL
68.9629, 2060-2079, hadgem2_es, Oct Anomaly, NPL
25.3005, 2060-2079, hadgem2_es, Nov Anomaly, NPL
5.2161, 2060-2079, hadgem2_es, Dec Anomaly, NPL
6.29933, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
11.2256, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
31.6806, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
68.6178, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
80.526, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
73.3194, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
92.6232, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
78.5898, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
79.7337, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
58.4112, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
30.6011, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
7.76756, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
2.39236, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
7.93369, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
36.6749, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
74.5527, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
74.6896, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
65.8896, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
80.6559, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
70.4042, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
76.0654, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
56.7467, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
24.1625, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
3.9761, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
1.01965, 2060-2079, miroc5, Jan Anomaly, NPL
10.6151, 2060-2079, miroc5, Feb Anomaly, NPL
43.2614, 2060-2079, miroc5, Mar Anomaly, NPL
63.0569, 2060-2079, miroc5, Apr Anomaly, NPL
84.5181, 2060-2079, miroc5, May Anomaly, NPL
74.629, 2060-2079, miroc5, Jun Anomaly, NPL
29.3881, 2060-2079, miroc5, Jul Anomaly, NPL
43.3165, 2060-2079, miroc5, Aug Anomaly, NPL
36.4587, 2060-2079, miroc5, Sep Anomaly, NPL
33.6211, 2060-2079, miroc5, Oct Anomaly, NPL
14.3954, 2060-2079, miroc5, Nov Anomaly, NPL
4.1298, 2060-2079, miroc5, Dec Anomaly, NPL
6.88231, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
1.59868, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
41.2672, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
91.7805, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
129.557, 2060-2079, miroc_esm_chem, May Anomaly, NPL
103.187, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
45.7718, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
64.7756, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
64.5045, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
60.4416, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
39.8369, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
13.0968, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
1.71961, 2060-2079, miroc_esm, Jan Anomaly, NPL
4.54446, 2060-2079, miroc_esm, Feb Anomaly, NPL
28.029, 2060-2079, miroc_esm, Mar Anomaly, NPL
91.2403, 2060-2079, miroc_esm, Apr Anomaly, NPL
91.8853, 2060-2079, miroc_esm, May Anomaly, NPL
58.9761, 2060-2079, miroc_esm, Jun Anomaly, NPL
27.041, 2060-2079, miroc_esm, Jul Anomaly, NPL
50.3005, 2060-2079, miroc_esm, Aug Anomaly, NPL
62.4734, 2060-2079, miroc_esm, Sep Anomaly, NPL
62.8335, 2060-2079, miroc_esm, Oct Anomaly, NPL
26.5836, 2060-2079, miroc_esm, Nov Anomaly, NPL
8.92362, 2060-2079, miroc_esm, Dec Anomaly, NPL
0.34847, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
1.38371, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
27.854, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
50.4477, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
50.0798, 2060-2079, mri_cgcm3, May Anomaly, NPL
75.8559, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
60.1561, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
46.7458, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
36.7126, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
17.4258, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
7.9516, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
0.76468, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
2.30883, 2060-2079, noresm1_m, Jan Anomaly, NPL
4.53435, 2060-2079, noresm1_m, Feb Anomaly, NPL
23.4227, 2060-2079, noresm1_m, Mar Anomaly, NPL
76.2957, 2060-2079, noresm1_m, Apr Anomaly, NPL
97.7536, 2060-2079, noresm1_m, May Anomaly, NPL
82.0734, 2060-2079, noresm1_m, Jun Anomaly, NPL
64.271, 2060-2079, noresm1_m, Jul Anomaly, NPL
66.1344, 2060-2079, noresm1_m, Aug Anomaly, NPL
68.3664, 2060-2079, noresm1_m, Sep Anomaly, NPL
40.8461, 2060-2079, noresm1_m, Oct Anomaly, NPL
16.2105, 2060-2079, noresm1_m, Nov Anomaly, NPL
3.93069, 2060-2079, noresm1_m, Dec Anomaly, NPL
0.05877, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
-1.1841, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
12.0065, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
31.9651, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
1.83752, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
7.84898, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-3.164, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
4.44723, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
10.4134, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
14.0322, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
0.45716, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
-0.0776, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
2.33487, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
7.18725, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
31.9836, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
63.5178, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
94.5724, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
64.1349, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
51.5597, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
56.798, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
65.6414, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
55.0339, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
23.98, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
4.61586, 2060-2079, Ensemble (50th Percentile), Dec Anomaly, NPL
6.27705, 2060-2079, Ensemble (90th Percentile), Jan Anomaly, NPL
7.10715, 2060-2079, Ensemble (90th Percentile), Feb Anomaly, NPL
68.2311, 2060-2079, Ensemble (90th Percentile), Mar Anomaly, NPL
131.288, 2060-2079, Ensemble (90th Percentile), Apr Anomaly, NPL
158.071, 2060-2079, Ensemble (90th Percentile), May Anomaly, NPL
169.022, 2060-2079, Ensemble (90th Percentile), Jun Anomaly, NPL
149.566, 2060-2079, Ensemble (90th Percentile), Jul Anomaly, NPL
130.909, 2060-2079, Ensemble (90th Percentile), Aug Anomaly, NPL
112.539, 2060-2079, Ensemble (90th Percentile), Sep Anomaly, NPL
106.163, 2060-2079, Ensemble (90th Percentile), Oct Anomaly, NPL
47.9066, 2060-2079, Ensemble (90th Percentile), Nov Anomaly, NPL
13.1225, 2060-2079, Ensemble (90th Percentile), Dec Anomaly, NPL
504.104, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
426.965, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
659.187, 2060-2079, ccsm4, Annual Anomaly, NPL
827.873, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
582.912, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
902.057, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
452.257, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
578.362, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
622.648, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
576.491, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
440.618, 2060-2079, miroc5, Annual Anomaly, NPL
676.357, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
522.294, 2060-2079, miroc_esm, Annual Anomaly, NPL
374.488, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
546.496, 2060-2079, noresm1_m, Annual Anomaly, NPL
320.293, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
532.656, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
