Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
0.9944, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
1.60225, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
19.4685, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
61.6406, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
67.2246, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
60.5983, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
29.7166, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
39.847, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
13.9498, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
35.9601, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
13.5523, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
1.7605, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.10634, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-2.3725, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-2.2734, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
44.5528, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
48.8814, 2020-2039, bcc_csm1_1, May Anomaly, NPL
41.1641, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
34.3526, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
5.43062, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
20.3364, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
18.5076, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
1.57032, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.8393, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.54002, 2020-2039, ccsm4, Jan Anomaly, NPL
4.35605, 2020-2039, ccsm4, Feb Anomaly, NPL
26.7593, 2020-2039, ccsm4, Mar Anomaly, NPL
44.673, 2020-2039, ccsm4, Apr Anomaly, NPL
75.7673, 2020-2039, ccsm4, May Anomaly, NPL
66.3394, 2020-2039, ccsm4, Jun Anomaly, NPL
57.7147, 2020-2039, ccsm4, Jul Anomaly, NPL
41.5064, 2020-2039, ccsm4, Aug Anomaly, NPL
35.8712, 2020-2039, ccsm4, Sep Anomaly, NPL
20.7137, 2020-2039, ccsm4, Oct Anomaly, NPL
7.93513, 2020-2039, ccsm4, Nov Anomaly, NPL
0.19002, 2020-2039, ccsm4, Dec Anomaly, NPL
0.4907, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
