Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
0.00177, 2060-2079, access1_0, Feb Anomaly, NPL
-9.0E-4, 2060-2079, access1_0, Mar Anomaly, NPL
0.01025, 2060-2079, access1_0, Apr Anomaly, NPL
0.01561, 2060-2079, access1_0, May Anomaly, NPL
0.26286, 2060-2079, access1_0, Jun Anomaly, NPL
0.75864, 2060-2079, access1_0, Jul Anomaly, NPL
0.18584, 2060-2079, access1_0, Aug Anomaly, NPL
0.06682, 2060-2079, access1_0, Sep Anomaly, NPL
0.00188, 2060-2079, access1_0, Oct Anomaly, NPL
0.00593, 2060-2079, access1_0, Nov Anomaly, NPL
4.3E-4, 2060-2079, access1_3, Jan Anomaly, NPL
-0.0069, 2060-2079, access1_3, Feb Anomaly, NPL
-0.0045, 2060-2079, access1_3, Mar Anomaly, NPL
0.01369, 2060-2079, access1_3, Apr Anomaly, NPL
0.02061, 2060-2079, access1_3, May Anomaly, NPL
0.24847, 2060-2079, access1_3, Jun Anomaly, NPL
1.33409, 2060-2079, access1_3, Jul Anomaly, NPL
1.0666, 2060-2079, access1_3, Aug Anomaly, NPL
0.104, 2060-2079, access1_3, Sep Anomaly, NPL
1.7E-4, 2060-2079, access1_3, Oct Anomaly, NPL
0.00304, 2060-2079, access1_3, Nov Anomaly, NPL
0.02511, 2060-2079, access1_3, Dec Anomaly, NPL
-0.0162, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.03041, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.02545, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0092, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0222, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.02643, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.39785, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.11189, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.19937, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.06063, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.03142, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0324, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0201, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.01193, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0194, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.00821, 2060-2079, bcc_csm1_1, May Anomaly, NPL
