Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-0.104, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.02995, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0264, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0147, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0086, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.10177, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.38319, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1265, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.13669, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.08235, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0339, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0052, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0212, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.0081, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0194, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.00573, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0034, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.15571, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.49822, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.50265, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.17479, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.06038, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.0092, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.01624, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.07088, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.0307, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.0356, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.0016, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.0063, 2060-2079, ccsm4, May Anomaly, NPL
0.15746, 2060-2079, ccsm4, Jun Anomaly, NPL
0.72517, 2060-2079, ccsm4, Jul Anomaly, NPL
1.00108, 2060-2079, ccsm4, Aug Anomaly, NPL
0.49909, 2060-2079, ccsm4, Sep Anomaly, NPL
0.08526, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.158, 2060-2079, ccsm4, Nov Anomaly, NPL
-0.3215, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.1979, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.01708, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-0.0057, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.05755, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.0523, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.3409, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.1372, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.05229, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.39902, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.235, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.02976, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.04687, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.0165, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
0.00269, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.01285, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
8.0E-4, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.00223, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.04942, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.03293, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.0058, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.00596, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
0.02041, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
0.12821, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
0.01597, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-0.2323, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.0403, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.0273, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
0.00214, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
0.0096, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
6.8E-4, 2060-2079, gfdl_esm2g, May Anomaly, NPL
0.29089, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.61377, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.77829, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-0.1532, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.2056, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
0.0557, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
