Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-4.0E-4, 2060-2079, access1_0, Feb Anomaly, NPL
0.0027, 2060-2079, access1_0, Mar Anomaly, NPL
0.00596, 2060-2079, access1_0, Apr Anomaly, NPL
0.03509, 2060-2079, access1_0, May Anomaly, NPL
0.06187, 2060-2079, access1_0, Jun Anomaly, NPL
0.77092, 2060-2079, access1_0, Jul Anomaly, NPL
0.3493, 2060-2079, access1_0, Aug Anomaly, NPL
0.05982, 2060-2079, access1_0, Sep Anomaly, NPL
0.02329, 2060-2079, access1_0, Oct Anomaly, NPL
-4.0E-4, 2060-2079, access1_0, Nov Anomaly, NPL
0.0032, 2060-2079, access1_3, Jan Anomaly, NPL
-0.0097, 2060-2079, access1_3, Feb Anomaly, NPL
0.03319, 2060-2079, access1_3, Mar Anomaly, NPL
4.2E-4, 2060-2079, access1_3, Apr Anomaly, NPL
0.0234, 2060-2079, access1_3, May Anomaly, NPL
0.07827, 2060-2079, access1_3, Jun Anomaly, NPL
0.71614, 2060-2079, access1_3, Jul Anomaly, NPL
0.25491, 2060-2079, access1_3, Aug Anomaly, NPL
0.02375, 2060-2079, access1_3, Sep Anomaly, NPL
3.7E-4, 2060-2079, access1_3, Oct Anomaly, NPL
9.1E-4, 2060-2079, access1_3, Dec Anomaly, NPL
-0.1511, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0153, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0288, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0073, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.04748, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.04658, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.33084, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.37967, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.25106, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.04152, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.01151, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0488, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.00547, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.02941, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0077, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.01333, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0031, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.081, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.23071, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.34197, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.12963, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.01242, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.0124, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.03922, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.00709, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.01155, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.58911, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.43576, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.11801, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.0172, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.0209, 2060-2079, canesm2, Jan Anomaly, NPL
-0.0104, 2060-2079, canesm2, Feb Anomaly, NPL
0.00666, 2060-2079, canesm2, Mar Anomaly, NPL
-0.0164, 2060-2079, canesm2, May Anomaly, NPL
0.01399, 2060-2079, canesm2, Jun Anomaly, NPL
0.60689, 2060-2079, canesm2, Jul Anomaly, NPL
0.35568, 2060-2079, canesm2, Aug Anomaly, NPL
0.07023, 2060-2079, canesm2, Sep Anomaly, NPL
0.05096, 2060-2079, canesm2, Oct Anomaly, NPL
-0.0116, 2060-2079, canesm2, Nov Anomaly, NPL
-0.0036, 2060-2079, canesm2, Dec Anomaly, NPL
0.1004, 2060-2079, ccsm4, Jan Anomaly, NPL
0.04857, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.0532, 2060-2079, ccsm4, Mar Anomaly, NPL
0.00723, 2060-2079, ccsm4, Apr Anomaly, NPL
0.02844, 2060-2079, ccsm4, May Anomaly, NPL
0.21643, 2060-2079, ccsm4, Jun Anomaly, NPL
0.89386, 2060-2079, ccsm4, Jul Anomaly, NPL
1.06746, 2060-2079, ccsm4, Aug Anomaly, NPL
0.67371, 2060-2079, ccsm4, Sep Anomaly, NPL
0.06201, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.2153, 2060-2079, ccsm4, Nov Anomaly, NPL
-0.102, 2060-2079, ccsm4, Dec Anomaly, NPL
0.0373, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-0.103, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-0.0125, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-0.0278, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-0.0913, 2060-2079, cesm1_bgc, May Anomaly, NPL
-0.1467, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
1.97059, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
