FID,id_punto,agno,pre_anual,geom
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d22,40335,1901,837.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d16,40335,1902,680.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d15,40335,1903,638.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d14,40335,1904,833.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d13,40335,1905,717.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d12,40335,1906,813,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d11,40335,1907,721.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d10,40335,1908,597.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d0f,40335,1909,953.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d0e,40335,1910,882.8,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d0d,40335,1911,817.9,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d0b,40335,1912,826.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d0a,40335,1913,754.5,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d08,40335,1914,1080.7,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d07,40335,1915,905.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d05,40335,1916,889.2,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d03,40335,1917,1097.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7d01,40335,1918,572,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cff,40335,1919,823.1,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cfd,40335,1920,727.3,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cfc,40335,1921,769.6,POINT (8933389.136160204 3535725.659799159)
pre_anual_espacial_p.fid--5ff12b53_179f50306d0_-7cfa,40335,1922,938.9,POINT (8933389.136160204 3535725.659799159)
