FID,id_punto,agno,temp_anual,geom
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b77,40335,1901,3.37,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b76,40335,1902,3.53,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b75,40335,1903,3.3,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b74,40335,1904,3.19,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b73,40335,1905,2.3,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b72,40335,1906,3.17,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b71,40335,1907,2.95,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b70,40335,1908,3.7,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6f,40335,1909,3.71,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6e,40335,1910,2.95,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6d,40335,1911,2.99,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6c,40335,1912,2.72,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6b,40335,1913,2.27,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b6a,40335,1914,2.58,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b69,40335,1915,3.49,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b68,40335,1916,3.45,POINT (8933389.136160204 3535725.659799159)
temp_anual_espacial_p.fid--5ff12b53_179f503477f_-6b67,40335,1917,2.05,POINT (8933389.136160204 3535725.659799159)
