FID,id_punto,agno,temp_max_anual,geom
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c89,40335,1901,9.47,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8a,40335,1902,9.64,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8b,40335,1903,9.4,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8c,40335,1904,9.3,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8d,40335,1905,8.4,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8e,40335,1906,9.26,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c8f,40335,1907,9.05,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c90,40335,1908,9.81,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c91,40335,1909,9.81,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c92,40335,1910,9.05,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c93,40335,1911,9.1,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c94,40335,1912,8.83,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c95,40335,1913,8.37,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c96,40335,1914,8.69,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c97,40335,1915,9.6,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c98,40335,1916,9.56,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c99,40335,1917,8.15,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9a,40335,1918,9.02,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9b,40335,1919,8.35,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9c,40335,1920,8.8,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9d,40335,1921,8.91,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9e,40335,1922,9.2,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7c9f,40335,1923,9.56,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7ca0,40335,1924,9.56,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7ca1,40335,1925,9.06,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7ca2,40335,1926,8.79,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7ca3,40335,1927,8.91,POINT (8933389.136160204 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_179f503477f_7ca4,40335,1928,9.56,POINT (8933389.136160204 3535725.659799159)
