FID,id_punto,agno,anomalia_temp_max_anual,geom
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b76,40335,1901,0.1,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b75,40335,1902,0.27,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b74,40335,1903,0.03,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b73,40335,1904,-0.06,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b72,40335,1905,-0.96,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b71,40335,1906,-0.1,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b70,40335,1907,-0.31,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6f,40335,1908,0.44,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6e,40335,1909,0.44,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6d,40335,1910,-0.31,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6c,40335,1911,-0.26,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6b,40335,1912,-0.53,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b6a,40335,1913,-0.99,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b69,40335,1914,-0.67,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b68,40335,1915,0.23,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b67,40335,1916,0.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b66,40335,1917,-1.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b65,40335,1918,-0.34,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b64,40335,1919,-1.01,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b63,40335,1920,-0.56,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b62,40335,1921,-0.45,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b61,40335,1922,-0.16,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b60,40335,1923,0.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5f,40335,1924,0.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5e,40335,1925,-0.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5d,40335,1926,-0.57,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5c,40335,1927,-0.45,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5b,40335,1928,0.19,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b5a,40335,1929,0.03,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b59,40335,1930,-0.2,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b58,40335,1931,0.16,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b57,40335,1932,0.28,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b56,40335,1933,-0.42,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b55,40335,1934,-0.15,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b54,40335,1935,-0.58,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b53,40335,1936,-1.21,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b52,40335,1937,-0.9,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b51,40335,1938,-0.35,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b50,40335,1939,-0.32,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_max_anual_espacial_p.fid--5ff12b53_179f5047d60_-4b4f,40335,1940,-0.41,POINT (8933389.136160204 3535725.659799159)
