FID,id_punto,agno,seasonality_index,geom
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8a,40335,1901,0.81,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8b,40335,1902,0.83,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8c,40335,1903,0.65,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8d,40335,1904,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8e,40335,1905,0.66,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c8f,40335,1906,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c90,40335,1907,0.73,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c91,40335,1908,0.71,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c92,40335,1909,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c93,40335,1910,0.86,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c94,40335,1911,0.66,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c95,40335,1912,0.66,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c96,40335,1913,0.64,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c97,40335,1914,0.68,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c98,40335,1915,0.74,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c99,40335,1916,0.89,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9a,40335,1917,0.57,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9b,40335,1918,0.7,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9c,40335,1919,0.61,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9d,40335,1920,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9e,40335,1921,0.83,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5c9f,40335,1922,0.85,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca0,40335,1923,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca1,40335,1924,0.79,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca2,40335,1925,0.91,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca3,40335,1926,0.78,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca4,40335,1927,0.7,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca5,40335,1928,0.6,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca6,40335,1929,0.61,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca7,40335,1930,0.65,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca8,40335,1931,0.81,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ca9,40335,1932,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5caa,40335,1933,0.64,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cab,40335,1934,0.85,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cac,40335,1935,0.7,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cad,40335,1936,0.81,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cae,40335,1937,0.68,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5caf,40335,1938,0.88,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb0,40335,1939,0.65,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb1,40335,1940,0.65,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb2,40335,1941,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb3,40335,1942,0.65,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb4,40335,1943,0.91,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb5,40335,1944,0.71,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb6,40335,1945,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb7,40335,1946,0.63,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb8,40335,1947,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cb9,40335,1948,0.87,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cba,40335,1949,0.77,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cbb,40335,1950,0.76,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cbc,40335,1951,0.57,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cbd,40335,1952,0.68,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cbe,40335,1953,0.88,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cbf,40335,1954,0.83,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc0,40335,1955,0.74,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc1,40335,1956,0.69,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc2,40335,1957,0.78,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc3,40335,1958,0.86,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc4,40335,1959,0.68,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc5,40335,1960,0.87,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc6,40335,1961,0.73,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc7,40335,1962,0.66,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc8,40335,1963,0.61,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cc9,40335,1964,0.89,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cca,40335,1965,0.8,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ccb,40335,1966,0.76,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ccc,40335,1967,0.71,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ccd,40335,1968,0.77,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cce,40335,1969,0.95,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5ccf,40335,1970,0.76,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd0,40335,1971,0.67,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd1,40335,1972,0.86,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd2,40335,1973,0.81,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd3,40335,1974,0.84,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd4,40335,1975,0.73,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd5,40335,1976,0.82,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd6,40335,1977,0.75,POINT (8933389.136160204 3535725.659799159)
seasonality_index_espacial_p.fid--5ff12b53_179f5047d60_5cd7,40335,1978,0.78,POINT (8933389.136160204 3535725.659799159)
