FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4489,40335,1901,0.12,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448a,40335,1902,0.28,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448b,40335,1903,0.04,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448c,40335,1904,-0.05,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448d,40335,1905,-0.94,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448e,40335,1906,-0.07,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_448f,40335,1907,-0.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4490,40335,1908,0.45,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4491,40335,1909,0.46,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4492,40335,1910,-0.3,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4493,40335,1911,-0.25,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4494,40335,1912,-0.52,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4495,40335,1913,-0.97,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4496,40335,1914,-0.66,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4497,40335,1915,0.24,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4498,40335,1916,0.2,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_4499,40335,1917,-1.2,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449a,40335,1918,-0.33,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449b,40335,1919,-0.99,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449c,40335,1920,-0.55,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449d,40335,1921,-0.43,POINT (8933389.136160204 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_179f503477f_449e,40335,1922,-0.15,POINT (8933389.136160204 3535725.659799159)
