FID,id_punto,agno,anomalia_etp_anual,geom
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248a,40335,1901,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248b,40335,1902,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248c,40335,1903,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248d,40335,1904,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248e,40335,1905,-46.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_248f,40335,1906,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2490,40335,1907,-19.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2491,40335,1908,16.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2492,40335,1909,7.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2493,40335,1910,-16.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2494,40335,1911,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2495,40335,1912,-28.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2496,40335,1913,-46.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2497,40335,1914,-37.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2498,40335,1915,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_2499,40335,1916,4.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249a,40335,1917,-49.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249b,40335,1918,-28.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249c,40335,1919,-34.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249d,40335,1920,-28.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249e,40335,1921,-28.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_249f,40335,1922,-16.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a0,40335,1923,1.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a1,40335,1924,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a2,40335,1925,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a3,40335,1926,-31.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a4,40335,1927,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a5,40335,1928,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a6,40335,1929,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a7,40335,1930,-13.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a8,40335,1931,7.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24a9,40335,1932,13.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24aa,40335,1933,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24ab,40335,1934,1.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24ac,40335,1935,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24ad,40335,1936,-31.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24ae,40335,1937,-25.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24af,40335,1938,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b0,40335,1939,-10.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b1,40335,1940,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b2,40335,1941,19.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b3,40335,1942,25.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b4,40335,1943,7.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b5,40335,1944,-1.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b6,40335,1945,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b7,40335,1946,10.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b8,40335,1947,4.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24b9,40335,1948,10.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24ba,40335,1949,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24bb,40335,1950,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24bc,40335,1951,1.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24bd,40335,1952,-7.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24be,40335,1953,4.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24bf,40335,1954,-25.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c0,40335,1955,-34.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c1,40335,1956,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c2,40335,1957,-19.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c3,40335,1958,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c4,40335,1959,-19.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c5,40335,1960,10.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c6,40335,1961,-10.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c7,40335,1962,-4.11,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c8,40335,1963,10.88,POINT (8933389.136160204 3535725.659799159)
anomalias_etp_anual_espacial_p.fid--5ff12b53_179f5047d60_24c9,40335,1964,1.88,POINT (8933389.136160204 3535725.659799159)
