"Year","Area, km2","Area, m2","Volume, m3"
1963,0.03,30000,297788
1975,0.3,300000,8431560
1978,0.36,360000,10986999
1984,0.47,470000,16181320
1986,0.53,530000,19265328
1991,0.652,652000,26026476
1992,0.685,685000,27960862
1996,0.721,721000,30119646
1997,0.74,740000,31278960
1999,0.75,750000,31894574
2001,0.788,788000,34267618
2004,0.889,889000,40825660
2008,0.9595,959500,45609694
