"Imja glacier
lake",Lake Name
959500,Measured area (m2)
45609694,Estimated volume (m3)
40,Volume
0,Seepage
10,Supra- and en-glacier channel
10,Calving
0,Rock fall/ avalanches
10,Moraine dam condition
10,Freeboard
10,Compound threats
90,Hazard Score
