"S.No","Name of glacier lake","Area (M2)","Volume (M3)","Mean depth (M)","Type of lake"
1,"Gruben Lake 5",10000,50000,5,"Thermokarst"
2,"Gruben Lake 1",23000,240000,10.4,"Moraine-dammed"
3,"Lac d' Arsine",59000,800000,13.6,"Moraine-dammed"
4,"Nostetuko lake",262200,7500000,28.6,"Moraine-dammed"
5,"Gjanupsvatn",600000,20000000,33.3,"Ice-dammed"
6,"Abmachimai Cho",565000,19400000,34.3,"Moraine-dammed"
7,"Gokyo Lake",400000,21000000,40,"Ice-dammed"
8,"Gelhaipu Cho",580000,25500000,42,"Moraine-dammed"
9,"Thulagi",760000,31800000,42,"Moraine-dammed"
10,"Lower Barun",600000,28000000,47,"Moraine-dammed"
11,"Imja Tsho",750000,33480000,48,"Moraine-dammed"
12,"Tsho Rolpa",1390000,76600000,55.1,"Moraine-dammed"
13,"Quangzongk Cho",760000,21700000,29,"Moraine-dammed"
