Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
0.00133, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.03706, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.07132, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0644, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.05844, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.01868, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
5.8E-4, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2080-2099, bnu_esm, May Anomaly, NPL
-2.0373, 2080-2099, bnu_esm, Jun Anomaly, NPL
-3.2798, 2080-2099, bnu_esm, Jul Anomaly, NPL
-3.2997, 2080-2099, bnu_esm, Aug Anomaly, NPL
-1.9264, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.0608, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.0049, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-0.4462, 2080-2099, cnrm_cm5, May Anomaly, NPL
-2.8251, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-2.859, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-1.2563, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-0.1965, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
-3.0E-4, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-0.0703, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-0.7344, 2080-2099, gfdl_cm3, May Anomaly, NPL
-2.8143, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-4.0704, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-3.7632, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-1.6767, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-0.0516, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-0.0147, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.579, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-3.0199, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-4.1907, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-3.8733, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-1.218, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-0.0189, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
-0.0166, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-0.6443, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-3.1364, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-4.451, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-3.7064, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-1.0365, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-0.0287, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
0.00131, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
0.08139, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
0.37879, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
0.96115, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
0.54018, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
0.22962, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
0.0018, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.0107, 2080-2099, miroc5, Apr Anomaly, NPL
-0.6665, 2080-2099, miroc5, May Anomaly, NPL
-1.64, 2080-2099, miroc5, Jun Anomaly, NPL
-0.8179, 2080-2099, miroc5, Jul Anomaly, NPL
-0.2406, 2080-2099, miroc5, Aug Anomaly, NPL
-0.1213, 2080-2099, miroc5, Sep Anomaly, NPL
0.00335, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
0.10511, 2080-2099, mri_cgcm3, May Anomaly, NPL
-0.1268, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
-0.3855, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
-0.0617, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
0.03562, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
-0.0171, 2080-2099, noresm1_m, May Anomaly, NPL
-1.7537, 2080-2099, noresm1_m, Jun Anomaly, NPL
-2.8481, 2080-2099, noresm1_m, Jul Anomaly, NPL
-2.2382, 2080-2099, noresm1_m, Aug Anomaly, NPL
-0.9392, 2080-2099, noresm1_m, Sep Anomaly, NPL
-6.0E-4, 2080-2099, noresm1_m, Oct Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-2.0E-4, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-0.0237, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.0082, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-5.0E-4, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
