Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-3.1326, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-4.4468, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-3.7064, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-1.0365, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-0.0287, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.00133, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
0.06952, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
0.41296, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
1.33588, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
0.78077, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
0.25558, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
0.00234, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.009, 2060-2079, miroc5, Apr Anomaly, NPL
-0.6761, 2060-2079, miroc5, May Anomaly, NPL
-1.5681, 2060-2079, miroc5, Jun Anomaly, NPL
-0.8114, 2060-2079, miroc5, Jul Anomaly, NPL
-0.2449, 2060-2079, miroc5, Aug Anomaly, NPL
-0.1205, 2060-2079, miroc5, Sep Anomaly, NPL
5.8E-4, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
0.05115, 2060-2079, mri_cgcm3, May Anomaly, NPL
-0.2311, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
-0.4854, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
-0.1326, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
0.03743, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
-0.0171, 2060-2079, noresm1_m, May Anomaly, NPL
-1.753, 2060-2079, noresm1_m, Jun Anomaly, NPL
-2.8492, 2060-2079, noresm1_m, Jul Anomaly, NPL
-2.2382, 2060-2079, noresm1_m, Aug Anomaly, NPL
-0.9392, 2060-2079, noresm1_m, Sep Anomaly, NPL
-6.0E-4, 2060-2079, noresm1_m, Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
