Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
78.9258, 2020-2039, access1_0, Annual Anomaly, NPL
123.123, 2020-2039, access1_3, Annual Anomaly, NPL
35.1005, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
53.0023, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
102.754, 2020-2039, bnu_esm, Annual Anomaly, NPL
2.86556, 2020-2039, canesm2, Annual Anomaly, NPL
122.485, 2020-2039, ccsm4, Annual Anomaly, NPL
122.931, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
54.1963, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
30.5023, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
30.4672, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
12.6047, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
83.4923, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
31.5402, 2020-2039, inmcm4, Annual Anomaly, NPL
5.17767, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
57.3629, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-62.758, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
64.562, 2020-2039, miroc5, Annual Anomaly, NPL
-12.658, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-3.7033, 2020-2039, miroc_esm, Annual Anomaly, NPL
52.0779, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
59.3024, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
76.4143, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
102.79, 2020-2039, noresm1_m, Annual Anomaly, NPL
-413.34, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
41.4899, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1086.87, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
