Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
3.87204, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
2.0535, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
3.19569, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
3.75686, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
4.00658, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.81581, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.74862, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.99206, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.27681, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.59221, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.21312, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
2.87878, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
3.48269, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
2.90739, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
3.517, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
2.70199, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
2.3995, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.72541, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.98109, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.47495, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
2.45278, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.68143, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
3.20654, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
4.62973, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
3.34432, 2080-2099, ccsm4, Jan Anomaly, NPL
3.46747, 2080-2099, ccsm4, Feb Anomaly, NPL
3.77992, 2080-2099, ccsm4, Mar Anomaly, NPL
4.24667, 2080-2099, ccsm4, Apr Anomaly, NPL
4.24441, 2080-2099, ccsm4, May Anomaly, NPL
3.6023, 2080-2099, ccsm4, Jun Anomaly, NPL
2.75833, 2080-2099, ccsm4, Jul Anomaly, NPL
3.3323, 2080-2099, ccsm4, Aug Anomaly, NPL
3.58788, 2080-2099, ccsm4, Sep Anomaly, NPL
3.82361, 2080-2099, ccsm4, Oct Anomaly, NPL
4.11318, 2080-2099, ccsm4, Nov Anomaly, NPL
4.39632, 2080-2099, ccsm4, Dec Anomaly, NPL
5.4051, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
5.0884, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
4.80079, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
4.49767, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
4.25678, 2080-2099, cesm1_cam5, May Anomaly, NPL
4.04165, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
3.35946, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
3.52486, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
4.54708, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
6.10867, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
6.17003, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
4.80794, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
4.07629, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
4.54405, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
4.03918, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
3.75846, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
3.26949, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
3.8166, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
2.84573, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
3.12839, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
3.46362, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
3.06569, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
3.85302, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
4.0116, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
6.31476, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
6.37522, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
5.92199, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
5.45158, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
6.75891, 2080-2099, gfdl_cm3, May Anomaly, NPL
7.4282, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
6.91539, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
6.92504, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
6.72781, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
5.22622, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
4.47411, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
6.51661, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
2.45951, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
1.68653, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
3.15176, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
2.43483, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
2.8807, 2080-2099, gfdl_esm2g, May Anomaly, NPL
2.10634, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
2.40076, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
1.35974, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
1.97566, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
2.09084, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
2.14336, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
1.53501, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
2.05677, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
1.15919, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
2.86872, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
3.68202, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
3.70174, 2080-2099, gfdl_esm2m, May Anomaly, NPL
3.07912, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
2.27536, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
1.86654, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
2.64906, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
3.24047, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
2.59211, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
1.61024, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
2.88113, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
3.876, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
4.58211, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
2.71094, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
2.64519, 2080-2099, hadgem2_ao, May Anomaly, NPL
2.31604, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
1.9354, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
1.98652, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
3.7619, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
3.16249, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
3.03311, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
3.95151, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
4.01026, 2080-2099, hadgem2_es, Jan Anomaly, NPL
3.44189, 2080-2099, hadgem2_es, Feb Anomaly, NPL
4.01945, 2080-2099, hadgem2_es, Mar Anomaly, NPL
3.00518, 2080-2099, hadgem2_es, Apr Anomaly, NPL
3.05118, 2080-2099, hadgem2_es, May Anomaly, NPL
2.5265, 2080-2099, hadgem2_es, Jun Anomaly, NPL
2.79309, 2080-2099, hadgem2_es, Jul Anomaly, NPL
2.90625, 2080-2099, hadgem2_es, Aug Anomaly, NPL
4.61386, 2080-2099, hadgem2_es, Sep Anomaly, NPL
3.48924, 2080-2099, hadgem2_es, Oct Anomaly, NPL
2.67108, 2080-2099, hadgem2_es, Nov Anomaly, NPL
3.11237, 2080-2099, hadgem2_es, Dec Anomaly, NPL
3.97632, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
3.92587, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
4.60788, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
5.44159, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
3.15206, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
3.92448, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
3.26066, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
2.77536, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
3.85454, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
4.84255, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
4.37376, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
5.02314, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
5.37473, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
4.98887, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
5.83718, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
5.34758, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
4.5587, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
3.40058, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
3.52574, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
3.00275, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
3.76854, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
4.70789, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
4.62953, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
4.29802, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
3.98557, 2080-2099, miroc5, Jan Anomaly, NPL
4.10161, 2080-2099, miroc5, Feb Anomaly, NPL
3.89832, 2080-2099, miroc5, Mar Anomaly, NPL
4.37765, 2080-2099, miroc5, Apr Anomaly, NPL
4.66501, 2080-2099, miroc5, May Anomaly, NPL
3.52185, 2080-2099, miroc5, Jun Anomaly, NPL
2.27206, 2080-2099, miroc5, Jul Anomaly, NPL
1.8318, 2080-2099, miroc5, Aug Anomaly, NPL
2.35883, 2080-2099, miroc5, Sep Anomaly, NPL
3.20376, 2080-2099, miroc5, Oct Anomaly, NPL
3.41867, 2080-2099, miroc5, Nov Anomaly, NPL
3.41889, 2080-2099, miroc5, Dec Anomaly, NPL
7.40986, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
6.30143, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
5.41094, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
5.92651, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
4.91802, 2080-2099, miroc_esm_chem, May Anomaly, NPL
3.59409, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
2.90493, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
2.8793, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
