Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.10133, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
0.83603, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
1.29675, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
1.46581, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.53031, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.8853, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.00704, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.90028, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.70008, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
1.16006, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
1.49495, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
1.77981, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.03343, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.72353, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.09483, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.78093, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.38687, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.53742, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.81339, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.99243, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.90233, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.83766, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.27362, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.99727, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
2.11299, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.8783, 2080-2099, bnu_esm, Feb Anomaly, NPL
1.77502, 2080-2099, bnu_esm, Mar Anomaly, NPL
2.55121, 2080-2099, bnu_esm, Apr Anomaly, NPL
1.06905, 2080-2099, bnu_esm, May Anomaly, NPL
0.78059, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.91517, 2080-2099, bnu_esm, Jul Anomaly, NPL
0.97102, 2080-2099, bnu_esm, Aug Anomaly, NPL
1.8634, 2080-2099, bnu_esm, Sep Anomaly, NPL
2.11435, 2080-2099, bnu_esm, Oct Anomaly, NPL
1.41161, 2080-2099, bnu_esm, Nov Anomaly, NPL
1.34304, 2080-2099, bnu_esm, Dec Anomaly, NPL
3.48813, 2080-2099, canesm2, Jan Anomaly, NPL
3.26146, 2080-2099, canesm2, Feb Anomaly, NPL
3.37137, 2080-2099, canesm2, Mar Anomaly, NPL
1.37787, 2080-2099, canesm2, Apr Anomaly, NPL
1.62926, 2080-2099, canesm2, May Anomaly, NPL
1.48684, 2080-2099, canesm2, Jun Anomaly, NPL
1.46252, 2080-2099, canesm2, Jul Anomaly, NPL
1.64689, 2080-2099, canesm2, Aug Anomaly, NPL
1.97871, 2080-2099, canesm2, Sep Anomaly, NPL
2.14118, 2080-2099, canesm2, Oct Anomaly, NPL
3.24385, 2080-2099, canesm2, Nov Anomaly, NPL
3.02143, 2080-2099, canesm2, Dec Anomaly, NPL
0.51849, 2080-2099, ccsm4, Jan Anomaly, NPL
1.07975, 2080-2099, ccsm4, Feb Anomaly, NPL
1.45428, 2080-2099, ccsm4, Mar Anomaly, NPL
1.55791, 2080-2099, ccsm4, Apr Anomaly, NPL
2.10499, 2080-2099, ccsm4, May Anomaly, NPL
1.46064, 2080-2099, ccsm4, Jun Anomaly, NPL
0.86511, 2080-2099, ccsm4, Jul Anomaly, NPL
1.02065, 2080-2099, ccsm4, Aug Anomaly, NPL
1.31162, 2080-2099, ccsm4, Sep Anomaly, NPL
1.11315, 2080-2099, ccsm4, Oct Anomaly, NPL
0.93606, 2080-2099, ccsm4, Nov Anomaly, NPL
1.3609, 2080-2099, ccsm4, Dec Anomaly, NPL
2.10752, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
1.7749, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
2.38206, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
2.24375, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
0.73997, 2080-2099, cesm1_cam5, May Anomaly, NPL
1.45921, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
1.68341, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
