Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
280.827, 2080-2099, access1_0, Annual Anomaly, NPL
318.597, 2080-2099, access1_3, Annual Anomaly, NPL
28.9265, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
122.598, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
159.117, 2080-2099, bnu_esm, Annual Anomaly, NPL
149.459, 2080-2099, canesm2, Annual Anomaly, NPL
156.689, 2080-2099, ccsm4, Annual Anomaly, NPL
166.066, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
217.753, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
53.3485, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
74.2247, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
188.175, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
288.056, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
39.4577, 2080-2099, inmcm4, Annual Anomaly, NPL
135.248, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
199.23, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-34.252, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
240.461, 2080-2099, miroc5, Annual Anomaly, NPL
91.1944, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
34.4566, 2080-2099, miroc_esm, Annual Anomaly, NPL
13.5269, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-7.6149, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
4.44652, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
217.749, 2080-2099, noresm1_m, Annual Anomaly, NPL
-378.39, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
137.372, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1171.01, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
