Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
-2.2953, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
72.8054, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
54.816, 2040-2059, ccsm4, Annual Anomaly, NPL
48.9788, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-22.627, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
74.7566, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
0.7307, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-40.017, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
90.1411, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
66.0852, 2040-2059, miroc5, Annual Anomaly, NPL
100.352, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
21.1986, 2040-2059, miroc_esm, Annual Anomaly, NPL
14.5604, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
125.442, 2040-2059, noresm1_m, Annual Anomaly, NPL
-390.96, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
13.6781, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
1194.01, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
