Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
298.879, 2080-2099, access1_0, Annual Anomaly, NPL
528.075, 2080-2099, access1_3, Annual Anomaly, NPL
75.8371, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
229.148, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
192.748, 2080-2099, bnu_esm, Annual Anomaly, NPL
221.009, 2080-2099, canesm2, Annual Anomaly, NPL
275.589, 2080-2099, ccsm4, Annual Anomaly, NPL
301.666, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
406.013, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-51.775, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
135.781, 2080-2099, cmcc_cm, Annual Anomaly, NPL
39.3271, 2080-2099, cmcc_cms, Annual Anomaly, NPL
158.292, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
144.35, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
416.998, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
284.859, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
189.58, 2080-2099, hadgem2_es, Annual Anomaly, NPL
141.354, 2080-2099, inmcm4, Annual Anomaly, NPL
143.778, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
402.671, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
108.078, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
253.288, 2080-2099, miroc5, Annual Anomaly, NPL
239.144, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
160.432, 2080-2099, miroc_esm, Annual Anomaly, NPL
14.1778, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-6.7274, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
97.2457, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
112.003, 2080-2099, mri_esm1, Annual Anomaly, NPL
315.367, 2080-2099, noresm1_m, Annual Anomaly, NPL
-294.74, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
182.605, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1274.2, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
