Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
64.4119, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
71.6023, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
130.682, 2060-2079, bnu_esm, Annual Anomaly, NPL
57.5719, 2060-2079, canesm2, Annual Anomaly, NPL
62.9161, 2060-2079, ccsm4, Annual Anomaly, NPL
178.777, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-40.529, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.8469, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
119.082, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-11.644, 2060-2079, hadgem2_es, Annual Anomaly, NPL
48.0468, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
95.2512, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
56.3005, 2060-2079, miroc5, Annual Anomaly, NPL
92.6499, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
118.264, 2060-2079, miroc_esm, Annual Anomaly, NPL
-44.207, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-61.413, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
22.3603, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
153.567, 2060-2079, noresm1_m, Annual Anomaly, NPL
-401.6, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
64.5147, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
1084.91, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
