Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
176.647, 2060-2079, access1_0, Annual Anomaly, NPL
340.105, 2060-2079, access1_3, Annual Anomaly, NPL
94.7032, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
138.425, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
179.456, 2060-2079, bnu_esm, Annual Anomaly, NPL
181.501, 2060-2079, canesm2, Annual Anomaly, NPL
181.648, 2060-2079, ccsm4, Annual Anomaly, NPL
159.098, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
167.298, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-39.838, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
184.95, 2060-2079, cmcc_cm, Annual Anomaly, NPL
67.8876, 2060-2079, cmcc_cms, Annual Anomaly, NPL
100.699, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
94.9446, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
234.289, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
208.866, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
76.8134, 2060-2079, hadgem2_es, Annual Anomaly, NPL
73.2541, 2060-2079, inmcm4, Annual Anomaly, NPL
195.717, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
214.487, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-4.0234, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
114.34, 2060-2079, miroc5, Annual Anomaly, NPL
206.012, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
197.403, 2060-2079, miroc_esm, Annual Anomaly, NPL
8.17789, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-61.175, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
82.6416, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
132.276, 2060-2079, mri_esm1, Annual Anomaly, NPL
230.496, 2060-2079, noresm1_m, Annual Anomaly, NPL
-330.37, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
155.65, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
1142.46, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
