Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
42.9534, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
26.8306, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
116.209, 2020-2039, ccsm4, Annual Anomaly, NPL
50.6332, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
11.5048, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
139.259, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-34.388, 2020-2039, hadgem2_es, Annual Anomaly, NPL
35.697, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
86.862, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
133.586, 2020-2039, miroc5, Annual Anomaly, NPL
72.9793, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
26.6672, 2020-2039, miroc_esm, Annual Anomaly, NPL
66.8933, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
99.2387, 2020-2039, noresm1_m, Annual Anomaly, NPL
-373.21, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
40.0595, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1225.97, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
