Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
5.64879, 2020-2039, access1_0, Annual Anomaly, NPL
190.174, 2020-2039, access1_3, Annual Anomaly, NPL
30.8227, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
49.0612, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
98.2777, 2020-2039, bnu_esm, Annual Anomaly, NPL
122.295, 2020-2039, canesm2, Annual Anomaly, NPL
86.5455, 2020-2039, ccsm4, Annual Anomaly, NPL
102.03, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
164.335, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
35.9012, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
57.5866, 2020-2039, cmcc_cm, Annual Anomaly, NPL
48.748, 2020-2039, cmcc_cms, Annual Anomaly, NPL
19.3995, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
54.7043, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
94.126, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
43.5099, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-33.998, 2020-2039, hadgem2_es, Annual Anomaly, NPL
2.24851, 2020-2039, inmcm4, Annual Anomaly, NPL
17.6395, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
98.8632, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-6.6735, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
6.02939, 2020-2039, miroc5, Annual Anomaly, NPL
62.844, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
98.6587, 2020-2039, miroc_esm, Annual Anomaly, NPL
2.80651, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-21.291, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
60.8752, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-0.0776, 2020-2039, mri_esm1, Annual Anomaly, NPL
140.508, 2020-2039, noresm1_m, Annual Anomaly, NPL
-380.11, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
51.3142, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1057.72, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
