Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0175, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0238, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0219, 2080-2099, ccsm4, Annual Anomaly, NPL
-0.0267, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.0269, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0246, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
-0.0233, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-0.0257, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0291, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
-0.0315, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-0.0214, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0205, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0342, 2080-2099, miroc5, Annual Anomaly, NPL
-0.0294, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.0277, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0258, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
-0.0275, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0265, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0256, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0222, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
