Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0157, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0173, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0169, 2040-2059, bnu_esm, Annual Anomaly, NPL
-0.017, 2040-2059, canesm2, Annual Anomaly, NPL
-0.0142, 2040-2059, ccsm4, Annual Anomaly, NPL
-0.0207, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0149, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.0245, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0192, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0137, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.007, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.0153, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.0274, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.0147, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0259, 2040-2059, miroc5, Annual Anomaly, NPL
-0.028, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.0177, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.0245, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-0.0063, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.0146, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0171, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.0238, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0179, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0088, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
