Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0187, 2020-2039, access1_0, Annual Anomaly, NPL
-0.0222, 2020-2039, access1_3, Annual Anomaly, NPL
-0.012, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0146, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
-0.0167, 2020-2039, bnu_esm, Annual Anomaly, NPL
-0.0113, 2020-2039, canesm2, Annual Anomaly, NPL
-0.0111, 2020-2039, ccsm4, Annual Anomaly, NPL
-0.0125, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
-0.0177, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.0075, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.0205, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0169, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.0163, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
4.0E-4, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-0.0224, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-0.0201, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
0.0055, 2020-2039, inmcm4, Annual Anomaly, NPL
-0.014, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0147, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0089, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0172, 2020-2039, miroc5, Annual Anomaly, NPL
-0.0244, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-0.0238, 2020-2039, miroc_esm, Annual Anomaly, NPL
-0.0189, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-0.0091, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-0.0212, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-0.0186, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.0214, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0167, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0046, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
