Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0286, 2060-2079, access1_0, Annual Anomaly, NPL
-0.0299, 2060-2079, access1_3, Annual Anomaly, NPL
-0.0209, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0271, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0234, 2060-2079, bnu_esm, Annual Anomaly, NPL
-0.0223, 2060-2079, canesm2, Annual Anomaly, NPL
-0.0226, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0206, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
-0.0271, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.026, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
-0.0253, 2060-2079, cmcc_cms, Annual Anomaly, NPL
-0.0236, 2060-2079, cmcc_cm, Annual Anomaly, NPL
-0.0237, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.0277, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0244, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-0.026, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.0268, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.0289, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-0.0306, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
-0.0314, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-0.0231, 2060-2079, inmcm4, Annual Anomaly, NPL
-0.0235, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0203, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0193, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.034, 2060-2079, miroc5, Annual Anomaly, NPL
-0.0296, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0277, 2060-2079, miroc_esm, Annual Anomaly, NPL
-0.0281, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-0.0228, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
-0.027, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-0.0258, 2060-2079, mri_esm1, Annual Anomaly, NPL
-0.0291, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0265, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0261, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0237, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
