Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.016, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0197, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0164, 2060-2079, bnu_esm, Annual Anomaly, NPL
-0.0187, 2060-2079, canesm2, Annual Anomaly, NPL
-0.0115, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0238, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.0161, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.0247, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0228, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-0.0135, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.0026, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.0123, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-0.0286, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-0.012, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.026, 2060-2079, miroc5, Annual Anomaly, NPL
-0.0291, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0221, 2060-2079, miroc_esm, Annual Anomaly, NPL
-0.0216, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-0.0107, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
-0.0132, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-0.0252, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0251, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0189, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0082, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
