Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0198, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0236, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0201, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0251, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.0249, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0238, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-0.0195, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.022, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.0223, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-0.0306, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-0.0225, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0185, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0301, 2060-2079, miroc5, Annual Anomaly, NPL
-0.0291, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0256, 2060-2079, miroc_esm, Annual Anomaly, NPL
-0.0201, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-0.0263, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.026, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0238, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0187, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
