Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.013, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0145, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
-0.0151, 2020-2039, ccsm4, Annual Anomaly, NPL
-0.0201, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.013, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0159, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.0137, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-0.0117, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-0.0079, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-0.0197, 2020-2039, hadgem2_es, Annual Anomaly, NPL
-0.012, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0147, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0192, 2020-2039, miroc5, Annual Anomaly, NPL
-0.0213, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-0.0177, 2020-2039, miroc_esm, Annual Anomaly, NPL
-0.0158, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-0.0154, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.0205, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0149, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0073, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
