Budget Head,2013/14,2014/15,2015/16,2016/17,2017/18
Economic affairs,68.9,68,84.7,70.7,27.8
Housing and community amenities,24.3,21,9.1,14.6,9.1
Environment protection,5.4,8.5,4.5,7,3.6
General public service,1,0.7,0.4,0.6,59.3
Education,0.2,0.7,0.4,0,0
Health,0,0.1,0.1,0.1,0.2
