S.N.,Degradation Type,Affected Area (million ha.),Affected Area as % of  Total Land Area of Nepal
1,Water erosion,6.7,45.4
2,Wind erosion,0.6,4
3,Chemical deterioration,0.3,1.7
4,Physical deterioration,0.2,1.3
