Distinction,Type and Color of Soil,Area of holding (ha),Percent to total
Soil Type,Sand,589455,25
Soil Type,Loam,884697,38
Soil Type,Silt,167822,7
Soil Type,Clay,532488,23
Soil Type,Clay Loam,145777,6
Soil Color,Black,825307,36
Soil Color,Brown,939299,40
Soil Color,Yellow,215460,9
Soil Color,Red,283687,12
Soil Color,Other,56485,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
